prompt_category,n,genuine_refusal_n,genuine_refusal_rate,capability_failure_n,capability_failure_rate,original_nonengagement_n,original_nonengagement_rate
security_conflict,17593,888,0.050474620587733755,5620,0.3194452338998465,2315,0.1315864264195987
civil_rights_liberties,17589,619,0.03519244982659617,5346,0.30393996247654786,1481,0.08420035249303542
territorial_sovereignty,17584,572,0.032529572338489535,5762,0.3276842584167425,1659,0.09434713375796179
religion_state,14076,453,0.032182438192668375,4110,0.29198635976129583,1176,0.08354646206308611
social_moral,7914,231,0.029188779378316907,2437,0.307935304523629,609,0.07695223654283548
governance_democracy,17581,432,0.024571981115977477,5594,0.3181844036175417,1626,0.09248620670041523
migration_nationalism,17587,244,0.013873884118951497,5791,0.32927730710183656,1148,0.06527548757605049
economic_policy,17589,104,0.005912786400591279,5586,0.31758485417022003,969,0.05509125021320143
environment_energy,9673,48,0.004962266101519694,3071,0.3174816499534788,492,0.050863227540576865
