response_language,n,economic_mean,economic_sd,social_mean,social_sd,auth_lib_mean,auth_lib_sd,pop_elite_mean,pop_elite_sd
ar,557,0.008976660682226212,0.296730131663486,-0.03770197486535009,0.4801982851236167,-0.06822262118491922,0.459526540036758,-0.0933572710951526,0.39133010110017474
en,597,0.005025125628140704,0.3302046462847639,-0.05862646566164154,0.5479493095245765,-0.12060301507537688,0.4903713544783242,-0.11557788944723618,0.475975024773663
hi,574,0.010452961672473868,0.30680838091598495,-0.029616724738675958,0.5021707080604465,-0.08885017421602788,0.48443241669377635,-0.08362369337979095,0.4218840455024487
ru,577,0.01386481802426343,0.3277900577685122,-0.01733102253032929,0.5234545536603322,-0.1317157712305026,0.5102926743724581,-0.08492201039861352,0.4184105620332143
zh,551,0.003629764065335753,0.3014894554823356,-0.0544464609800363,0.5123326443747236,-0.1161524500907441,0.4682001188190467,-0.10707803992740472,0.4015479041823557
