language_f,n,engagement_rate,refusal_rate
English,2496,0.9503205128205128,0.049679487179487176
Hindi,2494,0.9302325581395349,0.06976744186046512
Russian,2496,0.9082532051282052,0.09174679487179487
Arabic,2496,0.8958333333333334,0.10416666666666667
Chinese,2496,0.8369391025641025,0.16306089743589744
