prompt_category,n,engagement_rate,refusal_rate
environment_energy,9673,0.9491367724594232,0.050863227540576865
economic_policy,17589,0.9449087497867986,0.05509125021320143
migration_nationalism,17587,0.9347245124239495,0.06527548757605049
social_moral,7914,0.9230477634571645,0.07695223654283548
religion_state,14076,0.9164535379369139,0.08354646206308611
civil_rights_liberties,17589,0.9157996475069646,0.08420035249303542
governance_democracy,17581,0.9075137932995848,0.09248620670041523
territorial_sovereignty,17584,0.9056528662420382,0.09434713375796179
security_conflict,17593,0.8684135735804013,0.1315864264195987
