prompt_category,model_f,n,engagement_rate,refusal_rate
territorial_sovereignty,Grok 4.3,1600,0.991875,0.008125
territorial_sovereignty,GPT-4o,1600,0.98,0.02
territorial_sovereignty,Sarvam 30B,1585,0.9684542586750788,0.031545741324921134
territorial_sovereignty,Claude Opus 4.5,1600,0.9575,0.0425
territorial_sovereignty,GPT-5.1,1600,0.950625,0.049375
territorial_sovereignty,Jais 8B,1599,0.9262038774233896,0.07379612257661038
territorial_sovereignty,Qwen3-Max,1600,0.925,0.075
territorial_sovereignty,DeepSeek V3.1,1600,0.87125,0.12875
territorial_sovereignty,Falcon3 10B,1600,0.8275,0.1725
territorial_sovereignty,ALLaM 7B,1598,0.5638297872340425,0.43617021276595747
