model_f,n,engagement_rate
Mistral Large 2512,10057,1
Grok 4.3,10074,0.98491165376216006
GPT-4o,10075,0.9813399503722084
Jais 8B,2967,0.9730367374452309
Claude Opus 4.5,10069,0.9707021551296057
GPT-5.1,10069,0.9664316218095144
Qwen3-Max,10067,0.9583788616270984
Falcon3 10B,2970,0.9407407407407408
Sarvam 30B,2350,0.9370212765957446
DeepSeek V3.1,10060,0.8986083499005965
ALLaM 7B,2966,0.8098449089683075
