prompt_category,n,engagement_rate,refusal_rate
environment_energy,7617,0.9868714717080216,0.01312852829197847
economic_policy,13967,0.9833178205770745,0.016682179422925467
migration_nationalism,13893,0.9760310947959404,0.023968905204059598
social_moral,6314,0.9624643649033893,0.0375356350966107
religion_state,11152,0.9563307030129125,0.04366929698708752
civil_rights_liberties,13850,0.9527075812274368,0.047292418772563176
territorial_sovereignty,13842,0.9442999566536627,0.055700043346337234
governance_democracy,14024,0.9440245293782088,0.055975470621791215
security_conflict,14021,0.9075672205976749,0.09243277940232508
