term,log_odds,se,z,p,or,or_lo,or_hi
homeTRUE,2.3399817790817705,0.15790311836138837,14.819097959334286,1.102550775513739e-49,10.381047408792599,7.617830874941525,14.14656574459941
homeTRUE:jurisMENA,-2.509007805780313,0.2214661007075075,-11.329082860830177,9.418576862228312e-30,0.08134891313357735,0.05270308094616826,0.1255646833014123
homeTRUE:jurisIndia,-1.8700004400740617,0.28484978106345393,-6.564865288267486,5.2079923153971164e-11,0.1541235939893205,0.08818609239857501,0.2693631340055696
homeTRUE:jurisUS,-2.490347444723577,0.2555745248598029,-9.744114543848506,1.954755055557024e-22,0.08288116494853054,0.0502234357583141,0.13677454358722102
