language_f,n,engagement_rate,refusal_rate
English,2496,0.9503205128205128,0.049679487179487176
Hindi,137,0.9197080291970803,0.08029197080291971
Russian,2435,0.9104722792607803,0.08952772073921972
Arabic,2496,0.8958333333333334,0.10416666666666667
Chinese,2496,0.8369391025641025,0.16306089743589744
