prompt_category,n,engagement_rate
security_conflict,14021,0.9075672205976749
governance_democracy,14024,0.9440245293782088
territorial_sovereignty,13842,0.9442999566536627
civil_rights_liberties,13850,0.9527075812274368
religion_state,11152,0.9563307030129125
social_moral,6314,0.9624643649033893
migration_nationalism,13893,0.9760310947959404
economic_policy,13967,0.9833178205770745
environment_energy,7617,0.9868714717080216
