outcome,estimate,conf_low,conf_high,n_blocks,n_issues,mean_regular,mean_boundary,estimate_pp,conf_low_pp,conf_high_pp,estimand,weighting,uncertainty
genuine_refusal,0.021548205674932618,0.016379438629961624,0.026741712650353952,10601,624,0.016834774498533264,0.038382980173465864,2.1548205674932617,1.6379438629961625,2.6741712650353953,paired boundary-minus-regular difference within issue x model,equal model,"issue-cluster percentile bootstrap, 2,000 draws"
capability_failure,0.014327280618132082,0.011499973152453151,0.017343732124684624,10601,624,0.03671985971386315,0.05104714033199524,1.432728061813208,1.1499973152453151,1.7343732124684625,paired boundary-minus-regular difference within issue x model,equal model,"issue-cluster percentile bootstrap, 2,000 draws"
