outcome,model,jurisdiction,estimate,conf_low,conf_high,n_blocks,estimate_pp,conf_low_pp,conf_high_pp,evidence_status
genuine_refusal,deepseek-chat-v3.1,CN,-0.020032051282051398,-0.032471955128205165,-0.0072115384615384776,624,-2.0032051282051397,-3.2471955128205163,-0.7211538461538478,exploratory model heterogeneity
genuine_refusal,glm-4.7-flash,CN,-0.01682692307692306,-0.02526041666666666,-0.009194711538461558,624,-1.682692307692306,-2.526041666666666,-0.9194711538461557,exploratory model heterogeneity
genuine_refusal,hunyuan-a13b,CN,0.047275641025641066,0.030448717948717917,0.06410256410256415,624,4.727564102564107,3.0448717948717916,6.410256410256415,exploratory model heterogeneity
genuine_refusal,qwen3-max,CN,0.05929487179487178,0.045673076923076886,0.07451923076923073,624,5.929487179487178,4.567307692307689,7.451923076923073,exploratory model heterogeneity
genuine_refusal,allam-7b,MENA,0.06730769230769229,0.0468549679487179,0.08733974358974358,624,6.730769230769229,4.68549679487179,8.733974358974358,exploratory model heterogeneity
genuine_refusal,falcon3-10b,MENA,0.006410256410256426,-0.005608974358974314,0.02003205128205128,624,0.6410256410256425,-0.5608974358974314,2.003205128205128,exploratory model heterogeneity
genuine_refusal,jais-8b,MENA,0.044871794871794955,0.03243189102564104,0.05769230769230775,624,4.487179487179495,3.2431891025641044,5.769230769230775,exploratory model heterogeneity
genuine_refusal,sarvam-30b,India,0.09789644012944988,0.07766990291262138,0.11773867313915852,618,9.789644012944988,7.766990291262138,11.773867313915853,exploratory model heterogeneity
genuine_refusal,claude-opus-4.5,US,-0.01282051282051286,-0.02804487179487182,0.00202323717948712,624,-1.282051282051286,-2.804487179487182,0.20232371794871198,exploratory model heterogeneity
genuine_refusal,gemini-2.5-flash-lite,US,-0.0032051282051282137,-0.009615384615384644,0.003205128205128215,624,-0.3205128205128214,-0.9615384615384643,0.3205128205128215,exploratory model heterogeneity
genuine_refusal,gpt-4o,US,-0.004012841091492759,-0.008828250401284116,0,623,-0.4012841091492759,-0.8828250401284117,0,exploratory model heterogeneity
genuine_refusal,gpt-5.1,US,0.07451923076923075,0.05849358974358973,0.09016426282051285,624,7.451923076923076,5.849358974358973,9.016426282051285,exploratory model heterogeneity
genuine_refusal,grok-4.3,US,0.02644230769230768,0.0180088141025641,0.03647836538461535,624,2.6442307692307683,1.8008814102564101,3.647836538461535,exploratory model heterogeneity
genuine_refusal,llama-4-scout,US,-0.009615384615384633,-0.019230769230769232,8.012820512820545e-4,624,-0.9615384615384633,-1.9230769230769231,0.08012820512820545,exploratory model heterogeneity
genuine_refusal,nova-lite,US,0.006410256410256429,3.8060897435895165e-4,0.013621794871794882,624,0.641025641025643,0.038060897435895163,1.3621794871794883,exploratory model heterogeneity
genuine_refusal,ministral-14b,EU,8.012820512820536e-4,0,0.00240384615384616,624,0.08012820512820537,0,0.240384615384616,exploratory model heterogeneity
genuine_refusal,mistral-large-2512,EU,0.0016025641025641068,0,0.004006410256410266,624,0.1602564102564107,0,0.40064102564102655,exploratory model heterogeneity
capability_failure,deepseek-chat-v3.1,CN,-0.007211538461538467,-0.014042467948717972,-8.01282051282004e-4,624,-0.7211538461538467,-1.4042467948717972,-0.0801282051282004,exploratory model heterogeneity
capability_failure,glm-4.7-flash,CN,-8.012820512820539e-4,-0.0048076923076923175,0.003205128205128214,624,-0.08012820512820538,-0.4807692307692317,0.32051282051282143,exploratory model heterogeneity
capability_failure,hunyuan-a13b,CN,0.057692307692307765,0.027243589743589803,0.0881410256410257,624,5.769230769230776,2.7243589743589802,8.814102564102571,exploratory model heterogeneity
capability_failure,qwen3-max,CN,0.020032051282051357,0.0024038461538461262,0.03766025641025643,624,2.0032051282051357,0.24038461538461262,3.7660256410256427,exploratory model heterogeneity
capability_failure,allam-7b,MENA,0.1850961538461538,0.15022035256410257,0.2247796474358974,624,18.50961538461538,15.022035256410257,22.47796474358974,exploratory model heterogeneity
capability_failure,falcon3-10b,MENA,-0.00400641025641025,-0.008012820512820533,0,624,-0.400641025641025,-0.8012820512820533,0,exploratory model heterogeneity
