model,jurisdiction,outcome,estimate,conf_low,conf_high,std_error,estimable,standardized_home_risk,standardized_away_risk,n,events,n_issues,estimate_pp,conf_low_pp,conf_high_pp,estimand,formula
gpt-4o,US,genuine_refusal,-0.004532235656573299,-0.007635893551425099,-0.0014285777617214996,0.0015834989259447957,TRUE,2.771461807741744e-10,0.004532235933719473,2079,8,520,-0.4532235656573299,-0.7635893551425099,-0.14285777617214995,model-specific standardized home-minus-away predictive risk difference,outcome ~ home + tier + domain + route
gpt-4o,US,capability_failure,-7.302992969101743e-4,-0.004005039512798645,0.0025444409189782965,0.0016707858244328932,TRUE,0.001432933683452251,0.002163232980362449,2079,4,520,-0.07302992969101743,-0.4005039512798645,0.2544440918978296,model-specific standardized home-minus-away predictive risk difference,outcome ~ home + tier + domain + route
gpt-5.1,US,genuine_refusal,-0.021611478915570997,-0.04398586184673717,7.629040155951762e-4,0.011415501495492945,TRUE,0.028480297438430308,0.05009177635400162,2080,98,520,-2.1611478915571,-4.398586184673717,0.07629040155951762,model-specific standardized home-minus-away predictive risk difference,outcome ~ home + tier + domain + route
gpt-5.1,US,capability_failure,-4.99260337642553e-4,-0.0014721006240742563,4.7357994878915034e-4,4.963470849141344e-4,TRUE,3.011666890782583e-11,4.992603677592222e-4,2080,1,520,-0.0499260337642553,-0.14721006240742562,0.04735799487891503,model-specific standardized home-minus-away predictive risk difference,outcome ~ home + tier + domain + route
grok-4.3,US,genuine_refusal,4.428647713116169e-4,-0.018333607879441344,0.019219337422064577,0.009579832985078042,TRUE,0.016255452476970203,0.015812587705658538,2080,33,520,0.04428647713116169,-1.8333607879441345,1.9219337422064577,model-specific standardized home-minus-away predictive risk difference,outcome ~ home + tier + domain + route
grok-4.3,US,capability_failure,-5.608974415982076e-4,-0.001568348327657084,4.465534444606688e-4,5.140055541116717e-4,TRUE,9.366818785839322e-12,5.60897450965026e-4,2080,1,520,-0.056089744159820765,-0.1568348327657084,0.044655344446066884,model-specific standardized home-minus-away predictive risk difference,outcome ~ home + tier + domain + route
llama-4-scout,US,genuine_refusal,0.012956400008551094,-0.008096112983167758,0.034008913000269946,0.010741078056999415,TRUE,0.029372926601273264,0.01641652659272212,2080,39,520,1.2956400008551094,-0.8096112983167758,3.4008913000269945,model-specific standardized home-minus-away predictive risk difference,outcome ~ home + tier + domain + route
llama-4-scout,US,capability_failure,-0.001455819216299355,-0.003447989751611969,5.363513190132592e-4,0.0010164135384248033,TRUE,7.116366598792048e-12,0.001455819223415719,2080,2,520,-0.1455819216299355,-0.3447989751611969,0.05363513190132592,model-specific standardized home-minus-away predictive risk difference,outcome ~ home + tier + domain + route
nova-lite,US,genuine_refusal,0.005129460580194952,-0.008574646165411875,0.018833567325801777,0.006991891196738177,TRUE,0.011994952763399062,0.0068654921832040266,2080,16,520,0.5129460580194952,-0.8574646165411876,1.8833567325801777,model-specific standardized home-minus-away predictive risk difference,outcome ~ home + tier + domain + route
nova-lite,US,capability_failure,0.01569879735811685,-0.011932425297489568,0.04333002001372327,0.01409756257939103,TRUE,0.0318093282653248,0.016110530907207866,2080,37,520,1.569879735811685,-1.1932425297489568,4.333002001372327,model-specific standardized home-minus-away predictive risk difference,outcome ~ home + tier + domain + route
ministral-14b,EU,genuine_refusal,0.0033007441963006237,-0.0025276595458039296,0.009129147938405177,0.002973675378624772,TRUE,0.003300744201470804,5.170179432484938e-12,2080,1,520,0.3300744196300624,-0.25276595458039297,0.9129147938405178,model-specific standardized home-minus-away predictive risk difference,outcome ~ home + tier + domain + route
ministral-14b,EU,capability_failure,-4.992603356436087e-4,-0.0014721008360015862,4.735801647143689e-4,4.963471940601927e-4,TRUE,3.1981006547698354e-11,4.992603676246153e-4,2080,1,520,-0.049926033564360865,-0.1472100836001586,0.04735801647143689,model-specific standardized home-minus-away predictive risk difference,outcome ~ home + tier + domain + route
mistral-large-2512,EU,genuine_refusal,-4.962778859121705e-4,-0.0014568626191252486,4.6430684730090776e-4,4.900942516393256e-4,TRUE,4.050695403557911e-11,4.962779264191239e-4,2080,1,520,-0.04962778859121705,-0.14568626191252487,0.04643068473009078,model-specific standardized home-minus-away predictive risk difference,outcome ~ home + tier + domain + route
mistral-large-2512,EU,capability_failure,-1.0433436282897536e-5,-2.1442771083370152e-4,1.9356083826790643e-4,1.0407871150551224e-4,TRUE,4.703358039807798e-4,4.80769240263677e-4,2080,1,520,-0.0010433436282897537,-0.021442771083370154,0.019356083826790643,model-specific standardized home-minus-away predictive risk difference,outcome ~ home + tier + domain + route
