language,outcome,model,jurisdiction,estimate,conf_low,conf_high,n_blocks,n_issues,estimate_pp,conf_low_pp,conf_high_pp,evidence_status
ru,capability_failure,falcon3-10b,MENA,0.21995192307692307,0.20192307692307693,0.23798076923076922,2496,624,21.995192307692307,20.192307692307693,23.798076923076923,exploratory model heterogeneity
ru,capability_failure,jais-8b,MENA,0.9122596153846154,0.9004306891025642,0.9230769230769231,2496,624,91.22596153846155,90.04306891025642,92.3076923076923,exploratory model heterogeneity
ru,capability_failure,sarvam-30b,India,0.9186564144071226,0.9071773648195489,0.9292085400512504,2471,624,91.86564144071227,90.71773648195489,92.92085400512504,exploratory model heterogeneity
ru,capability_failure,claude-opus-4.5,US,0.002403846153846154,0.00040064102564102563,0.004807692307692308,2496,624,0.2403846153846154,0.04006410256410256,0.4807692307692308,exploratory model heterogeneity
ru,capability_failure,gemini-2.5-flash-lite,US,-0.001201923076923077,-0.003205128205128205,0.00040064102564102563,2496,624,-0.1201923076923077,-0.3205128205128205,0.04006410256410256,exploratory model heterogeneity
ru,capability_failure,gpt-4o,US,-0.0016032064128256513,-0.0032064128256513026,-0.00040064102564102563,2495,624,-0.16032064128256512,-0.32064128256513025,-0.04006410256410256,exploratory model heterogeneity
ru,capability_failure,gpt-5.1,US,0.00040064102564102563,-8.012820512820513e-4,0.002003205128205128,2496,624,0.04006410256410256,-0.08012820512820512,0.2003205128205128,exploratory model heterogeneity
ru,capability_failure,grok-4.3,US,0.0797275641025641,0.06850961538461539,0.09075520833333332,2496,624,7.97275641025641,6.850961538461539,9.075520833333332,exploratory model heterogeneity
ru,capability_failure,llama-4-scout,US,0.013221153846153846,0.008413461538461538,0.01842948717948718,2496,624,1.3221153846153846,0.8413461538461539,1.842948717948718,exploratory model heterogeneity
ru,capability_failure,nova-lite,US,0.003205128205128205,-0.0028044871794871795,0.009425080128205119,2496,624,0.3205128205128205,-0.28044871794871795,0.9425080128205119,exploratory model heterogeneity
ru,capability_failure,ministral-14b,EU,-0.00040064102564102563,-0.001201923076923077,0,2496,624,-0.04006410256410256,-0.1201923076923077,0,exploratory model heterogeneity
ru,capability_failure,mistral-large-2512,EU,0,-0.001201923076923077,0.001201923076923077,2496,624,0,-0.1201923076923077,0.1201923076923077,exploratory model heterogeneity
