jurisdiction,level,n_home,n_away,stratum,both_arms,canonical_run_id
EU,economic_policy | temporal,0,56,domain x route,FALSE,canon_004
EU,environment_energy | current-events,4,16,domain x route,TRUE,canon_004
EU,environment_energy | perennial,0,24,domain x route,FALSE,canon_004
EU,environment_energy | temporal,4,16,domain x route,TRUE,canon_004
EU,governance_democracy | current-events,32,36,domain x route,TRUE,canon_004
EU,governance_democracy | perennial,24,100,domain x route,TRUE,canon_004
EU,governance_democracy | temporal,12,92,domain x route,TRUE,canon_004
EU,migration_nationalism | current-events,40,12,domain x route,TRUE,canon_004
EU,migration_nationalism | perennial,64,44,domain x route,TRUE,canon_004
EU,migration_nationalism | temporal,48,88,domain x route,TRUE,canon_004
EU,religion_state | current-events,0,12,domain x route,FALSE,canon_004
EU,religion_state | perennial,12,44,domain x route,TRUE,canon_004
EU,religion_state | temporal,4,124,domain x route,TRUE,canon_004
EU,security_conflict | current-events,16,40,domain x route,TRUE,canon_004
EU,security_conflict | perennial,8,20,domain x route,TRUE,canon_004
EU,security_conflict | temporal,28,200,domain x route,TRUE,canon_004
EU,social_moral | current-events,8,4,domain x route,TRUE,canon_004
EU,social_moral | perennial,4,56,domain x route,TRUE,canon_004
EU,social_moral | temporal,0,4,domain x route,FALSE,canon_004
EU,territorial_sovereignty | current-events,24,16,domain x route,TRUE,canon_004
EU,territorial_sovereignty | perennial,8,208,domain x route,TRUE,canon_004
EU,territorial_sovereignty | temporal,8,48,domain x route,TRUE,canon_004
India,civil_rights_liberties | current-events,0,16,domain x route,FALSE,canon_004
India,civil_rights_liberties | perennial,0,136,domain x route,FALSE,canon_004
India,civil_rights_liberties | temporal,96,52,domain x route,TRUE,canon_004
India,economic_policy | current-events,4,67,domain x route,TRUE,canon_004
India,economic_policy | perennial,0,99,domain x route,FALSE,canon_004
India,economic_policy | temporal,36,20,domain x route,TRUE,canon_004
India,environment_energy | current-events,0,19,domain x route,FALSE,canon_004
India,environment_energy | perennial,0,24,domain x route,FALSE,canon_004
India,environment_energy | temporal,12,8,domain x route,TRUE,canon_004
India,governance_democracy | current-events,12,56,domain x route,TRUE,canon_004
India,governance_democracy | perennial,0,123,domain x route,FALSE,canon_004
India,governance_democracy | temporal,32,72,domain x route,TRUE,canon_004
India,migration_nationalism | current-events,4,48,domain x route,TRUE,canon_004
India,migration_nationalism | perennial,4,104,domain x route,TRUE,canon_004
India,migration_nationalism | temporal,36,100,domain x route,TRUE,canon_004
India,religion_state | current-events,4,8,domain x route,TRUE,canon_004
India,religion_state | perennial,0,56,domain x route,FALSE,canon_004
India,religion_state | temporal,104,24,domain x route,TRUE,canon_004
India,security_conflict | current-events,0,56,domain x route,FALSE,canon_004
India,security_conflict | perennial,0,28,domain x route,FALSE,canon_004
India,security_conflict | temporal,40,188,domain x route,TRUE,canon_004
India,social_moral | current-events,0,12,domain x route,FALSE,canon_004
India,social_moral | perennial,0,60,domain x route,FALSE,canon_004
India,social_moral | temporal,0,4,domain x route,FALSE,canon_004
India,territorial_sovereignty | current-events,8,32,domain x route,TRUE,canon_004
India,territorial_sovereignty | perennial,12,204,domain x route,TRUE,canon_004
India,territorial_sovereignty | temporal,12,44,domain x route,TRUE,canon_004
MENA,civil_rights_liberties | current-events,24,24,domain x route,TRUE,canon_004
MENA,civil_rights_liberties | perennial,12,396,domain x route,TRUE,canon_004
MENA,civil_rights_liberties | temporal,72,372,domain x route,TRUE,canon_004
MENA,economic_policy | current-events,12,204,domain x route,TRUE,canon_004
MENA,economic_policy | perennial,0,300,domain x route,FALSE,canon_004
MENA,economic_policy | temporal,24,144,domain x route,TRUE,canon_004
MENA,environment_energy | current-events,12,48,domain x route,TRUE,canon_004
MENA,environment_energy | perennial,0,72,domain x route,FALSE,canon_004
MENA,environment_energy | temporal,12,48,domain x route,TRUE,canon_004
MENA,governance_democracy | current-events,36,168,domain x route,TRUE,canon_004
MENA,governance_democracy | perennial,12,360,domain x route,TRUE,canon_004
MENA,governance_democracy | temporal,84,228,domain x route,TRUE,canon_004
MENA,migration_nationalism | current-events,24,132,domain x route,TRUE,canon_004
MENA,migration_nationalism | perennial,0,324,domain x route,FALSE,canon_004
MENA,migration_nationalism | temporal,96,312,domain x route,TRUE,canon_004
MENA,religion_state | current-events,0,36,domain x route,FALSE,canon_004
MENA,religion_state | perennial,72,96,domain x route,TRUE,canon_004
MENA,religion_state | temporal,48,336,domain x route,TRUE,canon_004
MENA,security_conflict | current-events,96,72,domain x route,TRUE,canon_004
MENA,security_conflict | perennial,12,72,domain x route,TRUE,canon_004
MENA,security_conflict | temporal,456,228,domain x route,TRUE,canon_004
MENA,social_moral | current-events,0,36,domain x route,FALSE,canon_004
MENA,social_moral | perennial,12,168,domain x route,TRUE,canon_004
MENA,social_moral | temporal,0,12,domain x route,FALSE,canon_004
MENA,territorial_sovereignty | current-events,24,96,domain x route,TRUE,canon_004
MENA,territorial_sovereignty | perennial,0,648,domain x route,FALSE,canon_004
MENA,territorial_sovereignty | temporal,108,60,domain x route,TRUE,canon_004
US,civil_rights_liberties | current-events,16,48,domain x route,TRUE,canon_004
US,civil_rights_liberties | perennial,272,272,domain x route,TRUE,canon_004
US,civil_rights_liberties | temporal,48,544,domain x route,TRUE,canon_004
US,economic_policy | current-events,160,128,domain x route,TRUE,canon_004
US,economic_policy | perennial,192,208,domain x route,TRUE,canon_004
US,economic_policy | temporal,48,176,domain x route,TRUE,canon_004
US,environment_energy | current-events,48,32,domain x route,TRUE,canon_004
US,environment_energy | perennial,80,16,domain x route,TRUE,canon_004
US,environment_energy | temporal,0,80,domain x route,FALSE,canon_004
US,governance_democracy | current-events,32,240,domain x route,TRUE,canon_004
US,governance_democracy | perennial,32,463,domain x route,TRUE,canon_004
US,governance_democracy | temporal,128,288,domain x route,TRUE,canon_004
US,migration_nationalism | current-events,0,208,domain x route,FALSE,canon_004
US,migration_nationalism | perennial,64,368,domain x route,TRUE,canon_004
US,migration_nationalism | temporal,80,464,domain x route,TRUE,canon_004
US,religion_state | current-events,32,16,domain x route,TRUE,canon_004
US,religion_state | perennial,64,160,domain x route,TRUE,canon_004
US,religion_state | temporal,16,496,domain x route,TRUE,canon_004
US,security_conflict | current-events,32,192,domain x route,TRUE,canon_004
US,security_conflict | perennial,16,96,domain x route,TRUE,canon_004
US,security_conflict | temporal,32,880,domain x route,TRUE,canon_004
US,social_moral | current-events,16,32,domain x route,TRUE,canon_004
US,social_moral | perennial,208,32,domain x route,TRUE,canon_004
US,social_moral | temporal,16,0,domain x route,FALSE,canon_004
US,territorial_sovereignty | current-events,0,160,domain x route,FALSE,canon_004
US,territorial_sovereignty | perennial,32,832,domain x route,TRUE,canon_004
US,territorial_sovereignty | temporal,0,224,domain x route,FALSE,canon_004
CN,deepseek-chat-v3.1 | civil_rights_liberties,44,256,model x domain,TRUE,canon_004
CN,deepseek-chat-v3.1 | economic_policy,48,180,model x domain,TRUE,canon_004
CN,deepseek-chat-v3.1 | environment_energy,4,60,model x domain,TRUE,canon_004
CN,deepseek-chat-v3.1 | governance_democracy,92,204,model x domain,TRUE,canon_004
CN,deepseek-chat-v3.1 | migration_nationalism,24,272,model x domain,TRUE,canon_004
CN,deepseek-chat-v3.1 | religion_state,4,192,model x domain,TRUE,canon_004
CN,deepseek-chat-v3.1 | security_conflict,12,300,model x domain,TRUE,canon_004
CN,deepseek-chat-v3.1 | social_moral,0,76,model x domain,FALSE,canon_004
CN,deepseek-chat-v3.1 | territorial_sovereignty,188,124,model x domain,TRUE,canon_004
CN,qwen3-max | civil_rights_liberties,44,256,model x domain,TRUE,canon_004
CN,qwen3-max | economic_policy,48,180,model x domain,TRUE,canon_004
CN,qwen3-max | environment_energy,4,60,model x domain,TRUE,canon_004
CN,qwen3-max | governance_democracy,92,204,model x domain,TRUE,canon_004
CN,qwen3-max | migration_nationalism,24,272,model x domain,TRUE,canon_004
CN,qwen3-max | religion_state,4,192,model x domain,TRUE,canon_004
CN,qwen3-max | security_conflict,12,300,model x domain,TRUE,canon_004
CN,qwen3-max | social_moral,0,76,model x domain,FALSE,canon_004
CN,qwen3-max | territorial_sovereignty,188,124,model x domain,TRUE,canon_004
EU,mistral-large-2512 | civil_rights_liberties,40,260,model x domain,TRUE,canon_004
EU,mistral-large-2512 | economic_policy,28,200,model x domain,TRUE,canon_004
EU,mistral-large-2512 | environment_energy,8,56,model x domain,TRUE,canon_004
EU,mistral-large-2512 | governance_democracy,68,228,model x domain,TRUE,canon_004
EU,mistral-large-2512 | migration_nationalism,152,144,model x domain,TRUE,canon_004
EU,mistral-large-2512 | religion_state,16,180,model x domain,TRUE,canon_004
EU,mistral-large-2512 | security_conflict,52,260,model x domain,TRUE,canon_004
EU,mistral-large-2512 | social_moral,12,64,model x domain,TRUE,canon_004
EU,mistral-large-2512 | territorial_sovereignty,40,272,model x domain,TRUE,canon_004
India,sarvam-30b | civil_rights_liberties,96,204,model x domain,TRUE,canon_004
India,sarvam-30b | economic_policy,40,186,model x domain,TRUE,canon_004
India,sarvam-30b | environment_energy,12,51,model x domain,TRUE,canon_004
India,sarvam-30b | governance_democracy,44,251,model x domain,TRUE,canon_004
India,sarvam-30b | migration_nationalism,44,252,model x domain,TRUE,canon_004
India,sarvam-30b | religion_state,108,88,model x domain,TRUE,canon_004
India,sarvam-30b | security_conflict,40,272,model x domain,TRUE,canon_004
India,sarvam-30b | social_moral,0,76,model x domain,FALSE,canon_004
India,sarvam-30b | territorial_sovereignty,32,280,model x domain,TRUE,canon_004
MENA,allam-7b | civil_rights_liberties,36,264,model x domain,TRUE,canon_004
MENA,allam-7b | economic_policy,12,216,model x domain,TRUE,canon_004
MENA,allam-7b | environment_energy,8,56,model x domain,TRUE,canon_004
MENA,allam-7b | governance_democracy,44,252,model x domain,TRUE,canon_004
MENA,allam-7b | migration_nationalism,40,256,model x domain,TRUE,canon_004
