estimand_family,sensitivity_type,jurisdiction,level,definition,scale,n,n_issues,estimate,conf_low,conf_high,estimate_pp,conf_low_pp,conf_high_pp,note,code3_handling,bootstrap_unit
outcome_and_measurement_sensitivity,code3_representation,CN,engaged,"three-category outcome, by jurisdiction",share of responses,23144,NA,0.9273550506871819,NA,NA,92.7355050687182,NA,NA,NA,"code 3 appears as: excluded from strict, included in any, and its own category in three-category; never silently relabelled",NA
outcome_and_measurement_sensitivity,code3_representation,CN,partial,"three-category outcome, by jurisdiction",share of responses,162,NA,0.006491164803461955,NA,NA,0.6491164803461955,NA,NA,NA,"code 3 appears as: excluded from strict, included in any, and its own category in three-category; never silently relabelled",NA
outcome_and_measurement_sensitivity,code3_representation,CN,refusal,"three-category outcome, by jurisdiction",share of responses,1651,NA,0.06615378450935609,NA,NA,6.6153784509356095,NA,NA,NA,"code 3 appears as: excluded from strict, included in any, and its own category in three-category; never silently relabelled",NA
outcome_and_measurement_sensitivity,code3_representation,MENA,engaged,"three-category outcome, by jurisdiction",share of responses,29054,NA,0.7762222815923057,NA,NA,77.62222815923056,NA,NA,NA,"code 3 appears as: excluded from strict, included in any, and its own category in three-category; never silently relabelled",NA
outcome_and_measurement_sensitivity,code3_representation,MENA,partial,"three-category outcome, by jurisdiction",share of responses,239,NA,0.006385252471279722,NA,NA,0.6385252471279722,NA,NA,NA,"code 3 appears as: excluded from strict, included in any, and its own category in three-category; never silently relabelled",NA
outcome_and_measurement_sensitivity,code3_representation,MENA,refusal,"three-category outcome, by jurisdiction",share of responses,8137,NA,0.21739246593641465,NA,NA,21.739246593641465,NA,NA,NA,"code 3 appears as: excluded from strict, included in any, and its own category in three-category; never silently relabelled",NA
outcome_and_measurement_sensitivity,code3_representation,India,engaged,"three-category outcome, by jurisdiction",share of responses,11939,NA,0.9627449399241996,NA,NA,96.27449399241996,NA,NA,NA,"code 3 appears as: excluded from strict, included in any, and its own category in three-category; never silently relabelled",NA
outcome_and_measurement_sensitivity,code3_representation,India,partial,"three-category outcome, by jurisdiction",share of responses,17,NA,0.0013708571889363762,NA,NA,0.1370857188936376,NA,NA,NA,"code 3 appears as: excluded from strict, included in any, and its own category in three-category; never silently relabelled",NA
outcome_and_measurement_sensitivity,code3_representation,India,refusal,"three-category outcome, by jurisdiction",share of responses,445,NA,0.03588420288686396,NA,NA,3.5884202886863963,NA,NA,NA,"code 3 appears as: excluded from strict, included in any, and its own category in three-category; never silently relabelled",NA
outcome_and_measurement_sensitivity,code3_representation,US,engaged,"three-category outcome, by jurisdiction",share of responses,48174,NA,0.9650433702598209,NA,NA,96.5043370259821,NA,NA,NA,"code 3 appears as: excluded from strict, included in any, and its own category in three-category; never silently relabelled",NA
outcome_and_measurement_sensitivity,code3_representation,US,partial,"three-category outcome, by jurisdiction",share of responses,503,NA,0.010076323644303772,NA,NA,1.007632364430377,NA,NA,NA,"code 3 appears as: excluded from strict, included in any, and its own category in three-category; never silently relabelled",NA
outcome_and_measurement_sensitivity,code3_representation,US,refusal,"three-category outcome, by jurisdiction",share of responses,1242,NA,0.02488030609587532,NA,NA,2.4880306095875317,NA,NA,NA,"code 3 appears as: excluded from strict, included in any, and its own category in three-category; never silently relabelled",NA
outcome_and_measurement_sensitivity,code3_representation,EU,engaged,"three-category outcome, by jurisdiction",share of responses,12479,NA,1,NA,NA,100,NA,NA,NA,"code 3 appears as: excluded from strict, included in any, and its own category in three-category; never silently relabelled",NA
outcome_and_measurement_sensitivity,judge,ALL,google/gemini-2.5-flash-lite (canonical),refusal rate under this judge's labels,probability,27449,624,0.05140442274764108,NA,NA,5.140442274764108,NA,NA,judge reported separately; majority vote NOT used,"code 3 appears as: excluded from strict, included in any, and its own category in three-category; never silently relabelled",NA
outcome_and_measurement_sensitivity,judge,ALL,google/gemma-4-31b-it,refusal rate under this judge's labels,probability,27449,624,0.03391744690152647,NA,NA,3.3917446901526467,NA,NA,judge reported separately; majority vote NOT used,"code 3 appears as: excluded from strict, included in any, and its own category in three-category; never silently relabelled",NA
outcome_and_measurement_sensitivity,judge,ALL,nvidia/nemotron-3-nano-30b-a3b,refusal rate under this judge's labels,probability,27449,624,0.029691427738715435,NA,NA,2.9691427738715435,NA,NA,judge reported separately; majority vote NOT used,"code 3 appears as: excluded from strict, included in any, and its own category in three-category; never silently relabelled",NA
outcome_and_measurement_sensitivity,judge,ALL,nvidia/nemotron-3-super-120b-a12b,refusal rate under this judge's labels,probability,6749,160,0.03956141650614906,NA,NA,3.956141650614906,NA,NA,judge reported separately; majority vote NOT used,"code 3 appears as: excluded from strict, included in any, and its own category in three-category; never silently relabelled",NA
