model,reason,n,n_refusals,share,juris,conf_low,conf_high,spec,sample,scale,contrast,estimable
gpt-5.1,epistemic,1,104,0.009615384615384616,US,0.001699329104420888,0.05246900667694734,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
gpt-5.1,other,7,104,0.0673076923076923,US,0.032983269269930095,0.1324593799489242,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
gpt-5.1,none given,1,104,0.009615384615384616,US,0.001699329104420888,0.05246900667694734,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
grok-4.3,neutrality,23,51,0.45098039215686275,US,0.32267305011132247,0.5861552845835076,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
grok-4.3,harm,5,51,0.09803921568627451,US,0.04260744495307697,0.2097848995445307,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
grok-4.3,epistemic,3,51,0.058823529411764705,US,0.020206272864052077,0.15924873938941972,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
grok-4.3,other,10,51,0.19607843137254902,US,0.11015224836299273,0.32458342674495444,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
grok-4.3,none given,10,51,0.19607843137254902,US,0.11015224836299273,0.32458342674495444,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
jais-8b,neutrality,10,59,0.1694915254237288,MENA,0.0947573785633763,0.28463461654814215,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
jais-8b,harm,48,59,0.8135593220338984,MENA,0.6962080757461748,0.8925738776095642,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
jais-8b,epistemic,0,59,0,MENA,0,0.06113147978409207,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
jais-8b,other,1,59,0.01694915254237288,MENA,0.002998156692981528,0.08995937462385317,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
jais-8b,none given,0,59,0,MENA,0,0.06113147978409207,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
qwen3-max,neutrality,122,184,0.6630434782608695,CN,0.5920312862969785,0.7273867765815318,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
qwen3-max,harm,16,184,0.08695652173913043,CN,0.054232353757765986,0.13657522028334096,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
qwen3-max,epistemic,1,184,0.005434782608695652,CN,9.599929623922178e-4,0.030138549639459552,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
qwen3-max,other,15,184,0.08152173913043478,CN,0.050023256845549355,0.1301370484329406,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
qwen3-max,none given,30,184,0.16304347826086957,CN,0.11665920013278122,0.22321013658496394,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
sarvam-30b,neutrality,100,152,0.6578947368421053,India,0.5794152788817886,0.7285897724010526,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
sarvam-30b,harm,43,152,0.28289473684210525,India,0.21732821133276298,0.3591648431533306,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
sarvam-30b,epistemic,1,152,0.006578947368421052,India,0.0011622614078393885,0.036321953333282364,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
sarvam-30b,other,8,152,0.05263157894736842,India,0.02690716919410706,0.10041185217117664,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
sarvam-30b,none given,0,152,0,India,0,0.024650670937670042,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
