jurisdiction,estimate,conf_low,conf_high,n,events,n_issues,spec,estimable
CN,0.16219812996412217,0.12274730814126784,0.2019678126595763,2080,115,520,CN_only_deepseek-chat-v3.1,TRUE
CN,0.19208127600825414,0.14714427440490682,0.24128402119525372,2080,167,520,CN_only_qwen3-max,TRUE
