n_foundations,n,share
0,910,0.13939950980392157
1,1634,0.2503063725490196
2,1978,0.30300245098039214
3,1677,0.2568933823529412
4,306,0.046875
5,20,0.0030637254901960784
6,3,4.5955882352941176e-4
