judge_model,n,refusal_rate,mean_engagement,pct_code_1,n_distinct_codes,degenerate
google/gemini-2.5-flash-lite,2639,0.07161803713527852,1.3925729442970822,0.7859037514209928,5,FALSE
google/gemma-4-31b-it,2613,0.03329506314580941,1.215078453884424,0.8694986605434366,5,FALSE
ibm-granite/granite-4.1-8b,2627,0.01598781880472021,1.097830224590788,0.9547011800532927,5,FALSE
inclusionai/ling-2.6-flash,2614,0.017597551644988524,1.0864575363427698,0.9667176740627391,5,FALSE
mistralai/mistral-small-3.2-24b-instruct,2588,0.025502318392581144,1.1205564142194746,0.9493817619783617,5,FALSE
nvidia/nemotron-3-nano-30b-a3b,2639,0.04357711254262978,1.1492989768851838,0.951496779082986,5,FALSE
nvidia/nemotron-3-super-120b-a12b,2615,0.06653919694072657,1.2695984703632888,0.897131931166348,4,FALSE
