model,lang,estimate,conf_low,conf_high,n,events,interaction_log_odds,interaction_se,interaction_p
qwen3-max,en,0.16944722558785225,0.120797064540245,0.23315443738729927,2080,167,0.19492033679724674,0.27459778930695705,0.4778037178760924
qwen3-max,zh,0.16518180840770155,0.11517492978214691,0.2247586765832688,2080,146,0.19492033679724674,0.27459778930695705,0.4778037178760924
deepseek-chat-v3.1,en,0.15091833992173934,0.10715599575984028,0.20218430323295872,2080,115,-1.1113967174049963,0.2640841120174442,2.5707699114968715e-5
deepseek-chat-v3.1,zh,0.20405562147593712,0.1360370225291455,0.2755648791291572,2080,378,-1.1113967174049963,0.2640841120174442,2.5707699114968715e-5
