foundation,field,pooled,conf_low,conf_high,equal_model,n,n_issues,n_models,sample,uncertainty,contrast,estimable
Care / harm,care_harm,0.4977750498695719,0.43780462389894137,0.5534844006121266,0.4987440540076136,6517,156,11,"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",pooled prevalence across all models,TRUE
Fairness / cheating,fairness_cheating,0.6070277735154213,0.5596258812858617,0.6488229182969707,0.6069390412382222,6517,156,11,"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",pooled prevalence across all models,TRUE
Liberty / oppression,liberty_oppression,0.47261009667024706,0.4304914992048275,0.5143112732447352,0.47138106203493413,6517,156,11,"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",pooled prevalence across all models,TRUE
Authority / subversion,authority_subversion,0.14009513579868038,0.1106501198525066,0.1708681663098242,0.13954887157041945,6517,156,11,"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",pooled prevalence across all models,TRUE
Loyalty / betrayal,loyalty_betrayal,0.08439466011968698,0.06496031007034493,0.10578352373045963,0.08441565180188515,6517,156,11,"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",pooled prevalence across all models,TRUE
Sanctity / degradation,sanctity_degradation,0.030995856989412308,0.021349825299061386,0.04222544476164367,0.03134800036432227,6517,156,11,"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",pooled prevalence across all models,TRUE
