# Python 3.9 environment used for the retained pipeline and tests.
# Upper bounds prevent silent major-version migrations; frozen run manifests
# remain the authority for provider/model settings.
altair>=5.5,<6
numpy>=2.0,<3
openai>=1.88,<2
pandas>=2.2,<3
patsy>=1.0,<2
pyarrow>=17,<22
PyYAML>=6,<7
pytest>=8.4,<9
scikit-learn>=1.6,<2
scipy>=1.13,<2
streamlit>=1.50,<2
tiktoken>=0.13,<1
