foundation,field,pooled,conf_low,conf_high,equal_model,n,n_issues,n_models,sample,uncertainty,contrast,estimable
Care / harm,care_harm,0.4973958333333333,0.4376962550852366,0.5529658238725333,0.49836984401766443,6528,156,11,"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",pooled prevalence across all models,TRUE
Fairness / cheating,fairness_cheating,0.6069240196078431,0.5597649236387278,0.6488380759990565,0.6068741925887104,6528,156,11,"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",pooled prevalence across all models,TRUE
Liberty / oppression,liberty_oppression,0.4725796568627451,0.4305556261041094,0.5142731635359441,0.47134218403735895,6528,156,11,"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",pooled prevalence across all models,TRUE
Authority / subversion,authority_subversion,0.1401654411764706,0.1103830987786382,0.17075781740965612,0.13963639900829625,6528,156,11,"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",pooled prevalence across all models,TRUE
Loyalty / betrayal,loyalty_betrayal,0.08440563725490197,0.06499886861290805,0.10552489007471132,0.0844381013245755,6528,156,11,"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",pooled prevalence across all models,TRUE
Sanctity / degradation,sanctity_degradation,0.031096813725490197,0.021451535973919106,0.04257330063946186,0.03146870700799005,6528,156,11,"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",pooled prevalence across all models,TRUE
