a,b,joint,pa,pb,lift
care_harm,fairness_cheating,0.36136642156862747,0.49739583333333554,0.30542790032679007,2.3786850642885837
care_harm,liberty_oppression,0.27481617647058826,0.49739583333333554,0.30542790032679007,1.8089703286705041
care_harm,loyalty_betrayal,0.023743872549019607,0.49739583333333554,0.30542790032679007,0.15629342304566785
care_harm,sanctity_degradation,0.01485906862745098,0.49739583333333554,0.30542790032679007,0.09780943248664374
fairness_cheating,liberty_oppression,0.4013480392156863,0.6069240196078416,0.30542790032679007,2.1651007652191496
fairness_cheating,loyalty_betrayal,0.040287990196078434,0.6069240196078416,0.30542790032679007,0.2173364508597849
fairness_cheating,sanctity_degradation,0.012867647058823529,0.6069240196078416,0.30542790032679007,0.06941544438107197
liberty_oppression,loyalty_betrayal,0.02925857843137255,0.4725796568627453,0.30542790032679007,0.20270734819719463
liberty_oppression,sanctity_degradation,0.010416666666666666,0.4725796568627453,0.30542790032679007,0.07216806113826825
authority_subversion,care_harm,0.04641544117647059,0.1401654411764713,0.30542790032679007,1.0842085501334235
authority_subversion,fairness_cheating,0.06770833333333333,0.1401654411764713,0.30542790032679007,1.5815847496995814
authority_subversion,liberty_oppression,0.06295955882352941,0.1401654411764713,0.30542790032679007,1.4706591224582082
authority_subversion,loyalty_betrayal,0.02665441176470588,0.1401654411764713,0.30542790032679007,0.6226148109677085
authority_subversion,sanctity_degradation,0.01332720588235294,0.1401654411764713,0.30542790032679007,0.31130740548385427
loyalty_betrayal,sanctity_degradation,0.006433823529411764,0.08440563725490093,0.30542790032679007,0.2495680495805897
