model,lang,home,n,events,rate,conf_low,conf_high
deepseek-chat-v3.1,en,0,1664,43,0.025841346153846124,0.019240900229336534,0.034626085700262536
deepseek-chat-v3.1,en,1,416,72,0.17307692307692296,0.13975680646493477,0.21237980886808605
deepseek-chat-v3.1,zh,0,1664,242,0.1454326923076919,0.12931036384823358,0.16318839622586462
deepseek-chat-v3.1,zh,1,416,136,0.32692307692307704,0.28360753108810877,0.3734059711470198
qwen3-max,en,0,1664,76,0.045673076923076907,0.03664528434623573,0.05679380483345615
qwen3-max,en,1,416,91,0.21875,0.18169565778142907,0.26095128335065504
qwen3-max,zh,0,1664,61,0.03665865384615387,0.028643988843832107,0.04680778067672668
qwen3-max,zh,1,416,86,0.20673076923076916,0.17058436304446584,0.24824407129839104
