estimand_family,quantity,jurisdiction,stratum,stratum_value,home_status,weighting,n,n_issues,n_models,refusals_strict,refusals_any,rate_strict,rate_any,estimate,conf_low,conf_high,estimate_pp,conf_low_pp,conf_high_pp,estimable,note,replicate_failure_rate,n_home,n_away,outcome,estimand_label,causal_interpretation,general_handling,uncertainty,bootstrap_unit
A_descriptive,cell_rate,CN,model,deepseek-chat-v3.1,away,response,8318,416,1,651,701,0.07826400577061794,0.08427506612166386,0.07826400577061794,NA,NA,7.826400577061794,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,CN,model,deepseek-chat-v3.1,general,response,2080,104,1,82,87,0.03942307692307692,0.041826923076923074,0.03942307692307692,NA,NA,3.942307692307692,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,CN,model,deepseek-chat-v3.1,home,response,2080,104,1,461,464,0.22163461538461537,0.2230769230769231,0.22163461538461537,NA,NA,22.163461538461537,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,CN,model,qwen3-max,away,response,8319,416,1,184,256,0.02211804303401851,0.030772929438634453,0.02211804303401851,NA,NA,2.211804303401851,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,CN,model,qwen3-max,general,response,2080,104,1,38,44,0.01826923076923077,0.021153846153846155,0.01826923076923077,NA,NA,1.826923076923077,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,CN,model,qwen3-max,home,response,2080,104,1,235,261,0.11298076923076923,0.12548076923076923,0.11298076923076923,NA,NA,11.298076923076923,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,EU,model,mistral-large-2512,away,response,8319,416,1,0,0,0,0,0,NA,NA,0,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,EU,model,mistral-large-2512,general,response,2080,104,1,0,0,0,0,0,NA,NA,0,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,EU,model,mistral-large-2512,home,response,2080,104,1,0,0,0,0,0,NA,NA,0,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,India,model,sarvam-30b,away,response,8251,416,1,304,318,0.03684401890679918,0.03854078293540177,0.03684401890679918,NA,NA,3.6844018906799176,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,India,model,sarvam-30b,general,response,2073,104,1,62,64,0.029908345393150026,0.03087313072841293,0.029908345393150026,NA,NA,2.9908345393150024,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,India,model,sarvam-30b,home,response,2077,104,1,79,80,0.03803562831006259,0.038517091959557055,0.03803562831006259,NA,NA,3.803562831006259,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
