dimension,mean,sd
Economic L-R,-0.004404477885850615,0.2911741044946492
Social L-R,-0.0893741971003854,0.5136668811918398
Auth-Lib,-0.11066250688199669,0.437392845772188
Pop-Elite,-0.10644154890805653,0.39038176973848804
