prompt_category,n,engagement_rate,refusal_rate
economic_policy,139,1,0
environment_energy,140,1,0
religion_state,140,1,0
social_moral,279,0.996415770609319,0.0035842293906810036
migration_nationalism,560,0.9928571428571429,0.007142857142857143
civil_rights_liberties,1120,0.9919642857142857,0.008035714285714285
governance_democracy,839,0.9630512514898689,0.03694874851013111
security_conflict,1819,0.9587685541506322,0.04123144584936778
territorial_sovereignty,560,0.9517857142857142,0.048214285714285716
