model_f,language_f,dominant_foundation,n,prop
GPT-4o,Arabic,sanctity_degradation,1,0.007575757575757576
Grok 4.3,English,authority_subversion,5,0.03875968992248062
Grok 4.3,English,care_harm,25,0.1937984496124031
Grok 4.3,English,fairness_cheating,57,0.4418604651162791
Grok 4.3,English,liberty_oppression,26,0.20155038759689922
Grok 4.3,English,loyalty_betrayal,11,0.08527131782945736
Grok 4.3,English,sanctity_degradation,5,0.03875968992248062
Grok 4.3,Chinese,authority_subversion,6,0.04878048780487805
Grok 4.3,Chinese,care_harm,24,0.1951219512195122
Grok 4.3,Chinese,fairness_cheating,63,0.5121951219512195
Grok 4.3,Chinese,liberty_oppression,15,0.12195121951219512
Grok 4.3,Chinese,loyalty_betrayal,11,0.08943089430894309
Grok 4.3,Chinese,sanctity_degradation,4,0.032520325203252036
Grok 4.3,Japanese,authority_subversion,3,0.023255813953488372
Grok 4.3,Japanese,care_harm,32,0.24806201550387597
Grok 4.3,Japanese,fairness_cheating,59,0.4573643410852713
Grok 4.3,Japanese,liberty_oppression,18,0.13953488372093023
Grok 4.3,Japanese,loyalty_betrayal,12,0.09302325581395349
Grok 4.3,Japanese,sanctity_degradation,5,0.03875968992248062
Grok 4.3,Indonesian,authority_subversion,7,0.05223880597014925
Grok 4.3,Indonesian,care_harm,27,0.20149253731343283
Grok 4.3,Indonesian,fairness_cheating,65,0.48507462686567165
Grok 4.3,Indonesian,liberty_oppression,21,0.15671641791044777
Grok 4.3,Indonesian,loyalty_betrayal,12,0.08955223880597014
Grok 4.3,Indonesian,sanctity_degradation,2,0.014925373134328358
Grok 4.3,Arabic,authority_subversion,6,0.04285714285714286
Grok 4.3,Arabic,care_harm,23,0.16428571428571428
Grok 4.3,Arabic,fairness_cheating,75,0.5357142857142857
Grok 4.3,Arabic,liberty_oppression,17,0.12142857142857143
Grok 4.3,Arabic,loyalty_betrayal,13,0.09285714285714286
Grok 4.3,Arabic,sanctity_degradation,6,0.04285714285714286
DeepSeek V3.1,English,authority_subversion,3,0.02142857142857143
DeepSeek V3.1,English,care_harm,43,0.30714285714285716
DeepSeek V3.1,English,fairness_cheating,57,0.40714285714285714
DeepSeek V3.1,English,liberty_oppression,24,0.17142857142857143
DeepSeek V3.1,English,loyalty_betrayal,13,0.09285714285714286
