response_language,engagement_code,n,pct
ar,1,113,0.70625
ar,2,36,0.225
ar,3,2,0.0125
ar,4,8,0.05
ar,5,1,0.00625
en,1,281,0.8699690402476781
en,2,31,0.09597523219814241
en,3,2,0.006191950464396285
en,4,6,0.018575851393188854
en,5,3,0.009287925696594427
zh,1,228,0.7192429022082019
zh,2,50,0.15772870662460567
zh,3,5,0.015772870662460567
zh,4,21,0.06624605678233439
zh,5,13,0.04100946372239748
