language_f,prompt_category,foundation_f,n,activation_rate
English,civil_rights_liberties,Loyalty/Betrayal,222,0.04504504504504506
English,economic_policy,Loyalty/Betrayal,27,0
English,environment_energy,Loyalty/Betrayal,28,0.035714285714285726
English,governance_democracy,Loyalty/Betrayal,161,0.09316770186335406
English,migration_nationalism,Loyalty/Betrayal,111,0.18018018018018023
English,religion_state,Loyalty/Betrayal,28,0
English,security_conflict,Loyalty/Betrayal,354,0.2033898305084745
English,social_moral,Loyalty/Betrayal,56,0.017857142857142856
English,territorial_sovereignty,Loyalty/Betrayal,107,0.07476635514018691
Chinese,civil_rights_liberties,Loyalty/Betrayal,223,0.03139013452914801
Chinese,economic_policy,Loyalty/Betrayal,28,0
Chinese,environment_energy,Loyalty/Betrayal,28,0
Chinese,governance_democracy,Loyalty/Betrayal,159,0.03144654088050315
Chinese,migration_nationalism,Loyalty/Betrayal,112,0.15178571428571425
Chinese,religion_state,Loyalty/Betrayal,28,0
Chinese,security_conflict,Loyalty/Betrayal,340,0.18235294117647055
Chinese,social_moral,Loyalty/Betrayal,55,0
Chinese,territorial_sovereignty,Loyalty/Betrayal,104,0.0865384615384615
Japanese,civil_rights_liberties,Loyalty/Betrayal,221,0.05882352941176477
Japanese,economic_policy,Loyalty/Betrayal,28,0
Japanese,environment_energy,Loyalty/Betrayal,28,0.03571428571428572
Japanese,governance_democracy,Loyalty/Betrayal,162,0.043209876543209846
Japanese,migration_nationalism,Loyalty/Betrayal,111,0.14414414414414412
Japanese,religion_state,Loyalty/Betrayal,28,0
Japanese,security_conflict,Loyalty/Betrayal,348,0.1724137931034482
Japanese,social_moral,Loyalty/Betrayal,55,0
Japanese,territorial_sovereignty,Loyalty/Betrayal,107,0.009345794392523364
Indonesian,civil_rights_liberties,Loyalty/Betrayal,223,0.04932735426008972
Indonesian,economic_policy,Loyalty/Betrayal,28,0
Indonesian,environment_energy,Loyalty/Betrayal,28,0
Indonesian,governance_democracy,Loyalty/Betrayal,164,0.0792682926829269
Indonesian,migration_nationalism,Loyalty/Betrayal,111,0.18018018018018023
Indonesian,religion_state,Loyalty/Betrayal,28,0
Indonesian,security_conflict,Loyalty/Betrayal,351,0.19373219373219377
Indonesian,social_moral,Loyalty/Betrayal,56,0
Indonesian,territorial_sovereignty,Loyalty/Betrayal,105,0.09523809523809519
Arabic,civil_rights_liberties,Loyalty/Betrayal,222,0.05405405405405407
Arabic,economic_policy,Loyalty/Betrayal,28,0
Arabic,environment_energy,Loyalty/Betrayal,28,0
Arabic,governance_democracy,Loyalty/Betrayal,162,0.09876543209876538
Arabic,migration_nationalism,Loyalty/Betrayal,111,0.1621621621621621
Arabic,religion_state,Loyalty/Betrayal,28,0
Arabic,security_conflict,Loyalty/Betrayal,351,0.18803418803418792
Arabic,social_moral,Loyalty/Betrayal,56,0.01785714285714285
Arabic,territorial_sovereignty,Loyalty/Betrayal,110,0.10909090909090902
English,civil_rights_liberties,Authority/Subversion,222,0.1621621621621621
English,economic_policy,Authority/Subversion,27,0
English,environment_energy,Authority/Subversion,28,0
English,governance_democracy,Authority/Subversion,161,0.1925465838509317
English,migration_nationalism,Authority/Subversion,111,0.2792792792792792
English,religion_state,Authority/Subversion,28,0
English,security_conflict,Authority/Subversion,354,0.06779661016949155
English,social_moral,Authority/Subversion,56,0.01785714285714284
English,territorial_sovereignty,Authority/Subversion,107,0.177570093457944
Chinese,civil_rights_liberties,Authority/Subversion,223,0.17488789237668154
Chinese,economic_policy,Authority/Subversion,28,0
Chinese,environment_energy,Authority/Subversion,28,0
Chinese,governance_democracy,Authority/Subversion,159,0.15723270440251574
Chinese,migration_nationalism,Authority/Subversion,112,0.29464285714285715
Chinese,religion_state,Authority/Subversion,28,0
Chinese,security_conflict,Authority/Subversion,340,0.03823529411764708
Chinese,social_moral,Authority/Subversion,55,0
Chinese,territorial_sovereignty,Authority/Subversion,104,0.11538461538461536
Japanese,civil_rights_liberties,Authority/Subversion,221,0.15384615384615385
Japanese,economic_policy,Authority/Subversion,28,0
Japanese,environment_energy,Authority/Subversion,28,0
Japanese,governance_democracy,Authority/Subversion,162,0.13580246913580246
Japanese,migration_nationalism,Authority/Subversion,111,0.31531531531531537
Japanese,religion_state,Authority/Subversion,28,0
Japanese,security_conflict,Authority/Subversion,348,0.037356321839080345
Japanese,social_moral,Authority/Subversion,55,0
Japanese,territorial_sovereignty,Authority/Subversion,107,0.13084112149532717
Indonesian,civil_rights_liberties,Authority/Subversion,223,0.16143497757847539
Indonesian,economic_policy,Authority/Subversion,28,0
Indonesian,environment_energy,Authority/Subversion,28,0
Indonesian,governance_democracy,Authority/Subversion,164,0.1890243902439024
Indonesian,migration_nationalism,Authority/Subversion,111,0.2522522522522522
Indonesian,religion_state,Authority/Subversion,28,0
Indonesian,security_conflict,Authority/Subversion,351,0.06552706552706554
Indonesian,social_moral,Authority/Subversion,56,0
Indonesian,territorial_sovereignty,Authority/Subversion,105,0.1619047619047619
Arabic,civil_rights_liberties,Authority/Subversion,222,0.13063063063063074
Arabic,economic_policy,Authority/Subversion,28,0
Arabic,environment_energy,Authority/Subversion,28,0
Arabic,governance_democracy,Authority/Subversion,162,0.14197530864197525
Arabic,migration_nationalism,Authority/Subversion,111,0.3333333333333334
Arabic,religion_state,Authority/Subversion,28,0.03571428571428572
Arabic,security_conflict,Authority/Subversion,351,0.028490028490028463
Arabic,social_moral,Authority/Subversion,56,0
Arabic,territorial_sovereignty,Authority/Subversion,110,0.16363636363636366
English,civil_rights_liberties,Sanctity/Degradation,222,0.15315315315315328
English,economic_policy,Sanctity/Degradation,27,0
English,environment_energy,Sanctity/Degradation,28,0
English,governance_democracy,Sanctity/Degradation,161,0.08074534161490689
English,migration_nationalism,Sanctity/Degradation,111,0.05405405405405412
English,religion_state,Sanctity/Degradation,28,0.035714285714285726
English,security_conflict,Sanctity/Degradation,354,0.05084745762711868
English,social_moral,Sanctity/Degradation,56,0.017857142857142856
English,territorial_sovereignty,Sanctity/Degradation,107,0
Chinese,civil_rights_liberties,Sanctity/Degradation,223,0.20179372197309423
Chinese,economic_policy,Sanctity/Degradation,28,0
Chinese,environment_energy,Sanctity/Degradation,28,0
Chinese,governance_democracy,Sanctity/Degradation,159,0.07547169811320756
Chinese,migration_nationalism,Sanctity/Degradation,112,0.008928571428571428
Chinese,religion_state,Sanctity/Degradation,28,0
Chinese,security_conflict,Sanctity/Degradation,340,0.052941176470588304
Chinese,social_moral,Sanctity/Degradation,55,0.10909090909090909
Chinese,territorial_sovereignty,Sanctity/Degradation,104,0
Japanese,civil_rights_liberties,Sanctity/Degradation,221,0.14027149321266968
Japanese,economic_policy,Sanctity/Degradation,28,0
Japanese,environment_energy,Sanctity/Degradation,28,0
Japanese,governance_democracy,Sanctity/Degradation,162,0.09876543209876538
Japanese,migration_nationalism,Sanctity/Degradation,111,0.018018018018018018
Japanese,religion_state,Sanctity/Degradation,28,0
Japanese,security_conflict,Sanctity/Degradation,348,0.034482758620689676
Japanese,social_moral,Sanctity/Degradation,55,0.05454545454545453
Japanese,territorial_sovereignty,Sanctity/Degradation,107,0
Indonesian,civil_rights_liberties,Sanctity/Degradation,223,0.13452914798206284
Indonesian,economic_policy,Sanctity/Degradation,28,0
Indonesian,environment_energy,Sanctity/Degradation,28,0
Indonesian,governance_democracy,Sanctity/Degradation,164,0.07926829268292684
Indonesian,migration_nationalism,Sanctity/Degradation,111,0.06306306306306304
Indonesian,religion_state,Sanctity/Degradation,28,0
Indonesian,security_conflict,Sanctity/Degradation,351,0.04273504273504278
Indonesian,social_moral,Sanctity/Degradation,56,0.0892857142857143
Indonesian,territorial_sovereignty,Sanctity/Degradation,105,0.009523809523809526
Arabic,civil_rights_liberties,Sanctity/Degradation,222,0.16666666666666663
Arabic,economic_policy,Sanctity/Degradation,28,0
Arabic,environment_energy,Sanctity/Degradation,28,0
Arabic,governance_democracy,Sanctity/Degradation,162,0.07407407407407408
Arabic,migration_nationalism,Sanctity/Degradation,111,0.009009009009008997
Arabic,religion_state,Sanctity/Degradation,28,0.07142857142857144
Arabic,security_conflict,Sanctity/Degradation,351,0.04843304843304841
Arabic,social_moral,Sanctity/Degradation,56,0.07142857142857142
Arabic,territorial_sovereignty,Sanctity/Degradation,110,0
English,civil_rights_liberties,Liberty/Oppression,222,0.5405405405405407
English,economic_policy,Liberty/Oppression,27,0.8888888888888888
English,environment_energy,Liberty/Oppression,28,0.2142857142857143
English,governance_democracy,Liberty/Oppression,161,0.6024844720496897
English,migration_nationalism,Liberty/Oppression,111,0.7297297297297296
English,religion_state,Liberty/Oppression,28,1
English,security_conflict,Liberty/Oppression,354,0.3050847457627118
English,social_moral,Liberty/Oppression,56,0.7857142857142858
English,territorial_sovereignty,Liberty/Oppression,107,0.8037383177570094
Chinese,civil_rights_liberties,Liberty/Oppression,223,0.5201793721973095
Chinese,economic_policy,Liberty/Oppression,28,0.7857142857142858
Chinese,environment_energy,Liberty/Oppression,28,0.14285714285714288
Chinese,governance_democracy,Liberty/Oppression,159,0.6100628930817612
Chinese,migration_nationalism,Liberty/Oppression,112,0.75
Chinese,religion_state,Liberty/Oppression,28,0.8928571428571429
Chinese,security_conflict,Liberty/Oppression,340,0.27352941176470597
Chinese,social_moral,Liberty/Oppression,55,0.7090909090909091
Chinese,territorial_sovereignty,Liberty/Oppression,104,0.7788461538461539
Japanese,civil_rights_liberties,Liberty/Oppression,221,0.5067873303167423
Japanese,economic_policy,Liberty/Oppression,28,0.75
Japanese,environment_energy,Liberty/Oppression,28,0.10714285714285715
Japanese,governance_democracy,Liberty/Oppression,162,0.5432098765432098
Japanese,migration_nationalism,Liberty/Oppression,111,0.6666666666666666
Japanese,religion_state,Liberty/Oppression,28,0.8571428571428571
Japanese,security_conflict,Liberty/Oppression,348,0.26724137931034464
Japanese,social_moral,Liberty/Oppression,55,0.7454545454545454
Japanese,territorial_sovereignty,Liberty/Oppression,107,0.7850467289719627
Indonesian,civil_rights_liberties,Liberty/Oppression,223,0.5470852017937218
Indonesian,economic_policy,Liberty/Oppression,28,0.5714285714285715
Indonesian,environment_energy,Liberty/Oppression,28,0.17857142857142855
Indonesian,governance_democracy,Liberty/Oppression,164,0.5792682926829266
Indonesian,migration_nationalism,Liberty/Oppression,111,0.7387387387387385
Indonesian,religion_state,Liberty/Oppression,28,0.9285714285714286
Indonesian,security_conflict,Liberty/Oppression,351,0.2535612535612537
Indonesian,social_moral,Liberty/Oppression,56,0.7321428571428571
Indonesian,territorial_sovereignty,Liberty/Oppression,105,0.7904761904761906
Arabic,civil_rights_liberties,Liberty/Oppression,222,0.4864864864864865
Arabic,economic_policy,Liberty/Oppression,28,0.7142857142857142
Arabic,environment_energy,Liberty/Oppression,28,0.07142857142857144
Arabic,governance_democracy,Liberty/Oppression,162,0.574074074074074
Arabic,migration_nationalism,Liberty/Oppression,111,0.7027027027027027
Arabic,religion_state,Liberty/Oppression,28,0.75
Arabic,security_conflict,Liberty/Oppression,351,0.2678062678062677
Arabic,social_moral,Liberty/Oppression,56,0.8214285714285715
Arabic,territorial_sovereignty,Liberty/Oppression,110,0.8181818181818181
