model_f,language_f,foundation_f,n,activation_rate,se
GPT-4o,Japanese,Fairness/Cheating,157,0.4904458598726114,0.03989705849400495
GPT-4o,Japanese,Loyalty/Betrayal,157,0.10191082802547773,0.024144603009800904
GPT-4o,Japanese,Authority/Subversion,157,0.10191082802547773,0.024144603009800904
GPT-4o,Japanese,Sanctity/Degradation,157,0.02547770700636943,0.012575528113682007
GPT-4o,Japanese,Liberty/Oppression,157,0.3821656050955415,0.038780375838498006
GPT-4o,Indonesian,Care/Harm,159,0.44025157232704404,0.0393684518676651
GPT-4o,Indonesian,Fairness/Cheating,159,0.5157232704402516,0.039632968517397525
GPT-4o,Indonesian,Loyalty/Betrayal,159,0.09433962264150937,0.023180947805054756
GPT-4o,Indonesian,Authority/Subversion,159,0.08176100628930816,0.021729634308220197
GPT-4o,Indonesian,Sanctity/Degradation,159,0.01886792452830189,0.01079014398639545
GPT-4o,Indonesian,Liberty/Oppression,159,0.42138364779874204,0.03915936389832973
GPT-4o,Arabic,Care/Harm,158,0.44303797468354433,0.039518888903935116
GPT-4o,Arabic,Fairness/Cheating,158,0.5316455696202531,0.039698113809368586
GPT-4o,Arabic,Loyalty/Betrayal,158,0.12658227848101275,0.026452633241607307
GPT-4o,Arabic,Authority/Subversion,158,0.07594936708860762,0.021075671487635485
GPT-4o,Arabic,Sanctity/Degradation,158,0.031645569620253194,0.013926599524901275
GPT-4o,Arabic,Liberty/Oppression,158,0.4113924050632911,0.039148265244358
Grok 4.3,English,Care/Harm,159,0.38364779874213834,0.038564017287149754
Grok 4.3,English,Fairness/Cheating,159,0.49685534591194963,0.03965179504138737
Grok 4.3,English,Loyalty/Betrayal,159,0.11949685534591183,0.02572439276389987
Grok 4.3,English,Authority/Subversion,159,0.15094339622641512,0.028390746938236934
Grok 4.3,English,Sanctity/Degradation,159,0.07547169811320756,0.02094853245293211
Grok 4.3,English,Liberty/Oppression,159,0.47798742138364786,0.039614133046147235
Grok 4.3,Chinese,Care/Harm,158,0.37341772151898733,0.03848202989910243
Grok 4.3,Chinese,Fairness/Cheating,158,0.4746835443037975,0.039726842396273686
