model_f,language_f,prompt_category,foundation_f,n,activation_rate
GPT-5.1,English,civil_rights_liberties,Loyalty/Betrayal,30,0.06666666666666668
GPT-5.1,English,economic_policy,Loyalty/Betrayal,4,0
GPT-5.1,English,environment_energy,Loyalty/Betrayal,4,0
GPT-5.1,English,governance_democracy,Loyalty/Betrayal,22,0.0909090909090909
GPT-5.1,English,migration_nationalism,Loyalty/Betrayal,15,0.2
GPT-5.1,English,religion_state,Loyalty/Betrayal,4,0
GPT-5.1,English,security_conflict,Loyalty/Betrayal,52,0.19230769230769232
GPT-5.1,English,social_moral,Loyalty/Betrayal,8,0.125
GPT-5.1,English,territorial_sovereignty,Loyalty/Betrayal,13,0
GPT-5.1,Chinese,civil_rights_liberties,Loyalty/Betrayal,32,0
GPT-5.1,Chinese,economic_policy,Loyalty/Betrayal,4,0
GPT-5.1,Chinese,environment_energy,Loyalty/Betrayal,4,0
GPT-5.1,Chinese,governance_democracy,Loyalty/Betrayal,24,0.04166666666666667
GPT-5.1,Chinese,migration_nationalism,Loyalty/Betrayal,16,0.0625
GPT-5.1,Chinese,religion_state,Loyalty/Betrayal,4,0
GPT-5.1,Chinese,security_conflict,Loyalty/Betrayal,48,0.16666666666666666
GPT-5.1,Chinese,social_moral,Loyalty/Betrayal,7,0
GPT-5.1,Chinese,territorial_sovereignty,Loyalty/Betrayal,15,0.06666666666666668
GPT-5.1,Japanese,civil_rights_liberties,Loyalty/Betrayal,32,0.03125
GPT-5.1,Japanese,economic_policy,Loyalty/Betrayal,4,0
GPT-5.1,Japanese,environment_energy,Loyalty/Betrayal,4,0
GPT-5.1,Japanese,governance_democracy,Loyalty/Betrayal,22,0.045454545454545456
GPT-5.1,Japanese,migration_nationalism,Loyalty/Betrayal,16,0.1875
GPT-5.1,Japanese,religion_state,Loyalty/Betrayal,4,0
GPT-5.1,Japanese,security_conflict,Loyalty/Betrayal,48,0.14583333333333331
GPT-5.1,Japanese,social_moral,Loyalty/Betrayal,8,0
GPT-5.1,Japanese,territorial_sovereignty,Loyalty/Betrayal,15,0
GPT-5.1,Indonesian,civil_rights_liberties,Loyalty/Betrayal,32,0.03125
GPT-5.1,Indonesian,economic_policy,Loyalty/Betrayal,4,0
GPT-5.1,Indonesian,environment_energy,Loyalty/Betrayal,4,0
GPT-5.1,Indonesian,governance_democracy,Loyalty/Betrayal,24,0.04166666666666667
GPT-5.1,Indonesian,migration_nationalism,Loyalty/Betrayal,16,0.25
GPT-5.1,Indonesian,religion_state,Loyalty/Betrayal,4,0
GPT-5.1,Indonesian,security_conflict,Loyalty/Betrayal,49,0.1428571428571429
GPT-5.1,Indonesian,social_moral,Loyalty/Betrayal,8,0
GPT-5.1,Indonesian,territorial_sovereignty,Loyalty/Betrayal,13,0.07692307692307693
GPT-5.1,Arabic,civil_rights_liberties,Loyalty/Betrayal,32,0.03125
GPT-5.1,Arabic,economic_policy,Loyalty/Betrayal,4,0
GPT-5.1,Arabic,environment_energy,Loyalty/Betrayal,4,0
GPT-5.1,Arabic,governance_democracy,Loyalty/Betrayal,22,0.0909090909090909
GPT-5.1,Arabic,migration_nationalism,Loyalty/Betrayal,15,0.06666666666666668
GPT-5.1,Arabic,religion_state,Loyalty/Betrayal,4,0
GPT-5.1,Arabic,security_conflict,Loyalty/Betrayal,48,0.1875
GPT-5.1,Arabic,social_moral,Loyalty/Betrayal,8,0
GPT-5.1,Arabic,territorial_sovereignty,Loyalty/Betrayal,14,0.07142857142857144
GPT-5.1,English,civil_rights_liberties,Authority/Subversion,30,0.13333333333333333
GPT-5.1,English,economic_policy,Authority/Subversion,4,0
GPT-5.1,English,environment_energy,Authority/Subversion,4,0
GPT-5.1,English,governance_democracy,Authority/Subversion,22,0.1818181818181818
GPT-5.1,English,migration_nationalism,Authority/Subversion,15,0.2666666666666667
GPT-5.1,English,religion_state,Authority/Subversion,4,0
