model_f,prompt_category,dataset_type_f,dimension_f,n,mean_score,sd_score
GPT-5.1,security_conflict,Regular Prompts,Populist-Elitist,129,-0.06201550387596899,0.24212399923954664
GPT-5.1,security_conflict,Boundary Prompts,Populist-Elitist,116,-0.11206896551724138,0.3168198424873399
GPT-5.1,social_moral,Regular Prompts,Populist-Elitist,20,-0.1,0.30779350562554625
GPT-5.1,social_moral,Boundary Prompts,Populist-Elitist,19,0,0
GPT-5.1,territorial_sovereignty,Regular Prompts,Populist-Elitist,37,-0.02702702702702703,0.16439898730535726
GPT-5.1,territorial_sovereignty,Boundary Prompts,Populist-Elitist,33,0.030303030303030304,0.39408505465575616
Claude Opus 4.5,civil_rights_liberties,Regular Prompts,Economic L-R,80,0,0
Claude Opus 4.5,civil_rights_liberties,Boundary Prompts,Economic L-R,78,0,0
Claude Opus 4.5,economic_policy,Regular Prompts,Economic L-R,10,-0.1,0.31622776601683794
Claude Opus 4.5,economic_policy,Boundary Prompts,Economic L-R,10,-0.3,1.8287822299126937
Claude Opus 4.5,environment_energy,Regular Prompts,Economic L-R,10,0,0
Claude Opus 4.5,environment_energy,Boundary Prompts,Economic L-R,10,0.2,0.9189365834726815
Claude Opus 4.5,governance_democracy,Regular Prompts,Economic L-R,53,0,0
Claude Opus 4.5,governance_democracy,Boundary Prompts,Economic L-R,57,0.017543859649122806,0.13245323570650439
Claude Opus 4.5,migration_nationalism,Regular Prompts,Economic L-R,40,0,0
Claude Opus 4.5,migration_nationalism,Boundary Prompts,Economic L-R,38,0.07894736842105263,0.35879520224642053
Claude Opus 4.5,religion_state,Regular Prompts,Economic L-R,10,0,0
Claude Opus 4.5,religion_state,Boundary Prompts,Economic L-R,10,0,0
Claude Opus 4.5,security_conflict,Regular Prompts,Economic L-R,119,0,0
Claude Opus 4.5,security_conflict,Boundary Prompts,Economic L-R,120,-0.041666666666666664,0.20066416332413967
Claude Opus 4.5,social_moral,Regular Prompts,Economic L-R,19,0,0
Claude Opus 4.5,social_moral,Boundary Prompts,Economic L-R,20,0.1,0.30779350562554625
Claude Opus 4.5,territorial_sovereignty,Regular Prompts,Economic L-R,37,0,0
Claude Opus 4.5,territorial_sovereignty,Boundary Prompts,Economic L-R,40,0.05,0.2207214278631522
Claude Opus 4.5,civil_rights_liberties,Regular Prompts,Social L-R,80,-0.0875,0.2843491346562302
Claude Opus 4.5,civil_rights_liberties,Boundary Prompts,Social L-R,78,-0.23076923076923078,0.6431068446116969
Claude Opus 4.5,economic_policy,Regular Prompts,Social L-R,10,0,0
Claude Opus 4.5,economic_policy,Boundary Prompts,Social L-R,10,0,0
Claude Opus 4.5,environment_energy,Regular Prompts,Social L-R,10,0,0
Claude Opus 4.5,environment_energy,Boundary Prompts,Social L-R,10,-0.1,0.31622776601683794
Claude Opus 4.5,governance_democracy,Regular Prompts,Social L-R,53,-0.03773584905660377,0.19238024756109737
Claude Opus 4.5,governance_democracy,Boundary Prompts,Social L-R,57,-0.07017543859649122,0.59340570086117
Claude Opus 4.5,migration_nationalism,Regular Prompts,Social L-R,40,-0.075,0.2667467828369187
Claude Opus 4.5,migration_nationalism,Boundary Prompts,Social L-R,38,-0.15789473684210525,0.9733285267845753
Claude Opus 4.5,religion_state,Regular Prompts,Social L-R,10,-0.2,0.42163702135578396
Claude Opus 4.5,religion_state,Boundary Prompts,Social L-R,10,-0.4,0.699205898780101
Claude Opus 4.5,security_conflict,Regular Prompts,Social L-R,119,-0.008403361344537815,0.09166984970282119
Claude Opus 4.5,security_conflict,Boundary Prompts,Social L-R,120,0.03333333333333333,0.4085912122298823
Claude Opus 4.5,social_moral,Regular Prompts,Social L-R,19,-0.05263157894736842,0.22941573387056172
Claude Opus 4.5,social_moral,Boundary Prompts,Social L-R,20,0.1,0.9119095061289914
Claude Opus 4.5,territorial_sovereignty,Regular Prompts,Social L-R,37,0,0
Claude Opus 4.5,territorial_sovereignty,Boundary Prompts,Social L-R,40,-0.075,0.3499084129252933
Claude Opus 4.5,civil_rights_liberties,Regular Prompts,Authoritarian-Libertarian,80,-0.0875,0.28434913465623024
Claude Opus 4.5,civil_rights_liberties,Boundary Prompts,Authoritarian-Libertarian,78,-0.24358974358974358,0.5852271716956097
Claude Opus 4.5,economic_policy,Regular Prompts,Authoritarian-Libertarian,10,0,0
Claude Opus 4.5,economic_policy,Boundary Prompts,Authoritarian-Libertarian,10,0,1.0540925533894598
Claude Opus 4.5,environment_energy,Regular Prompts,Authoritarian-Libertarian,10,-0.1,0.31622776601683794
Claude Opus 4.5,environment_energy,Boundary Prompts,Authoritarian-Libertarian,10,-0.4,0.699205898780101
Claude Opus 4.5,governance_democracy,Regular Prompts,Authoritarian-Libertarian,53,-0.09433962264150944,0.2950978288503027
Claude Opus 4.5,governance_democracy,Boundary Prompts,Authoritarian-Libertarian,57,-0.2807017543859649,0.4533362818715845
Claude Opus 4.5,migration_nationalism,Regular Prompts,Authoritarian-Libertarian,40,-0.075,0.2667467828369187
Claude Opus 4.5,migration_nationalism,Boundary Prompts,Authoritarian-Libertarian,38,-0.21052631578947367,0.5280200004832998
Claude Opus 4.5,religion_state,Regular Prompts,Authoritarian-Libertarian,10,0.2,0.42163702135578396
Claude Opus 4.5,religion_state,Boundary Prompts,Authoritarian-Libertarian,10,0.2,0.9189365834726814
Claude Opus 4.5,security_conflict,Regular Prompts,Authoritarian-Libertarian,119,-0.01680672268907563,0.12909025073869218
Claude Opus 4.5,security_conflict,Boundary Prompts,Authoritarian-Libertarian,120,-0.041666666666666664,0.30114161869426775
Claude Opus 4.5,social_moral,Regular Prompts,Authoritarian-Libertarian,19,0.05263157894736842,0.22941573387056172
Claude Opus 4.5,social_moral,Boundary Prompts,Authoritarian-Libertarian,20,0.2,0.7677718959499146
Claude Opus 4.5,territorial_sovereignty,Regular Prompts,Authoritarian-Libertarian,37,0,0
Claude Opus 4.5,territorial_sovereignty,Boundary Prompts,Authoritarian-Libertarian,40,0.025,0.15811388300841897
Claude Opus 4.5,civil_rights_liberties,Regular Prompts,Populist-Elitist,80,-0.1125,0.31797420482911637
Claude Opus 4.5,civil_rights_liberties,Boundary Prompts,Populist-Elitist,78,-0.19230769230769232,0.42815497581679834
Claude Opus 4.5,economic_policy,Regular Prompts,Populist-Elitist,10,0,0
Claude Opus 4.5,economic_policy,Boundary Prompts,Populist-Elitist,10,0.2,0.9189365834726815
Claude Opus 4.5,environment_energy,Regular Prompts,Populist-Elitist,10,0,0
Claude Opus 4.5,environment_energy,Boundary Prompts,Populist-Elitist,10,-0.3,0.6749485577105528
Claude Opus 4.5,governance_democracy,Regular Prompts,Populist-Elitist,53,-0.018867924528301886,0.13736056394868895
Claude Opus 4.5,governance_democracy,Boundary Prompts,Populist-Elitist,57,-0.12280701754385964,0.38126553544911856
Claude Opus 4.5,migration_nationalism,Regular Prompts,Populist-Elitist,40,-0.05,0.22072142786315216
Claude Opus 4.5,migration_nationalism,Boundary Prompts,Populist-Elitist,38,-0.3157894736842105,0.6197324251684116
Claude Opus 4.5,religion_state,Regular Prompts,Populist-Elitist,10,0,0
Claude Opus 4.5,religion_state,Boundary Prompts,Populist-Elitist,10,-0.2,0.42163702135578396
Claude Opus 4.5,security_conflict,Regular Prompts,Populist-Elitist,119,-0.04201680672268908,0.2014758253233289
Claude Opus 4.5,security_conflict,Boundary Prompts,Populist-Elitist,120,-0.09166666666666666,0.2897647070196331
Claude Opus 4.5,social_moral,Regular Prompts,Populist-Elitist,19,0,0
Claude Opus 4.5,social_moral,Boundary Prompts,Populist-Elitist,20,-0.05,0.22360679774997885
Claude Opus 4.5,territorial_sovereignty,Regular Prompts,Populist-Elitist,37,0,0
Claude Opus 4.5,territorial_sovereignty,Boundary Prompts,Populist-Elitist,40,0,0.32025630761017426
GPT-4o,civil_rights_liberties,Regular Prompts,Economic L-R,79,0,0
GPT-4o,civil_rights_liberties,Boundary Prompts,Economic L-R,80,-0.0125,0.11180339887498944
GPT-4o,economic_policy,Regular Prompts,Economic L-R,9,-0.5555555555555556,0.5270462766947299
GPT-4o,economic_policy,Boundary Prompts,Economic L-R,10,-0.2,1.7511900715418263
GPT-4o,environment_energy,Regular Prompts,Economic L-R,10,0,0
GPT-4o,environment_energy,Boundary Prompts,Economic L-R,10,0,1.0540925533894598
GPT-4o,governance_democracy,Regular Prompts,Economic L-R,57,0,0
GPT-4o,governance_democracy,Boundary Prompts,Economic L-R,60,0,0
GPT-4o,migration_nationalism,Regular Prompts,Economic L-R,40,0,0
GPT-4o,migration_nationalism,Boundary Prompts,Economic L-R,40,0.1,0.3789323733725365
GPT-4o,religion_state,Regular Prompts,Economic L-R,10,0,0
GPT-4o,religion_state,Boundary Prompts,Economic L-R,10,0,0
GPT-4o,security_conflict,Regular Prompts,Economic L-R,125,0,0
GPT-4o,security_conflict,Boundary Prompts,Economic L-R,130,-0.038461538461538464,0.1930516319997577
GPT-4o,social_moral,Regular Prompts,Economic L-R,20,0.05,0.2236067977499789
GPT-4o,social_moral,Boundary Prompts,Economic L-R,20,0.15,0.3663475485325232
GPT-4o,territorial_sovereignty,Regular Prompts,Economic L-R,40,0,0
GPT-4o,territorial_sovereignty,Boundary Prompts,Economic L-R,40,0.125,0.3349320635285418
GPT-4o,civil_rights_liberties,Regular Prompts,Social L-R,79,-0.05063291139240506,0.3889082080485949
GPT-4o,civil_rights_liberties,Boundary Prompts,Social L-R,80,-0.2375,0.6796080404230036
GPT-4o,economic_policy,Regular Prompts,Social L-R,9,0,0
GPT-4o,economic_policy,Boundary Prompts,Social L-R,10,0,0
GPT-4o,environment_energy,Regular Prompts,Social L-R,10,0,0
GPT-4o,environment_energy,Boundary Prompts,Social L-R,10,0,0
GPT-4o,governance_democracy,Regular Prompts,Social L-R,57,0,0
GPT-4o,governance_democracy,Boundary Prompts,Social L-R,60,0,0.552344770738994
GPT-4o,migration_nationalism,Regular Prompts,Social L-R,40,-0.05,0.22072142786315216
GPT-4o,migration_nationalism,Boundary Prompts,Social L-R,40,-0.075,0.8883144511391019
GPT-4o,religion_state,Regular Prompts,Social L-R,10,0,0
GPT-4o,religion_state,Boundary Prompts,Social L-R,10,-0.1,0.7378647873726217
GPT-4o,security_conflict,Regular Prompts,Social L-R,125,-0.056,0.3188689689431042
GPT-4o,security_conflict,Boundary Prompts,Social L-R,130,0.05384615384615385,0.45429114152067895
GPT-4o,social_moral,Regular Prompts,Social L-R,20,0.05,0.2236067977499789
GPT-4o,social_moral,Boundary Prompts,Social L-R,20,0.1,0.9119095061289914
GPT-4o,territorial_sovereignty,Regular Prompts,Social L-R,40,0,0
GPT-4o,territorial_sovereignty,Boundary Prompts,Social L-R,40,0.075,0.474341649025257
GPT-4o,civil_rights_liberties,Regular Prompts,Authoritarian-Libertarian,79,-0.012658227848101266,0.19570195065232965
GPT-4o,civil_rights_liberties,Boundary Prompts,Authoritarian-Libertarian,80,-0.2875,0.5779437579399677
GPT-4o,economic_policy,Regular Prompts,Authoritarian-Libertarian,9,0,0
GPT-4o,economic_policy,Boundary Prompts,Authoritarian-Libertarian,10,-0.1,0.9944289260117531
GPT-4o,environment_energy,Regular Prompts,Authoritarian-Libertarian,10,-0.4,0.5163977794943222
GPT-4o,environment_energy,Boundary Prompts,Authoritarian-Libertarian,10,-0.4,0.6992058987801011
GPT-4o,governance_democracy,Regular Prompts,Authoritarian-Libertarian,57,-0.07017543859649122,0.25771309648570556
GPT-4o,governance_democracy,Boundary Prompts,Authoritarian-Libertarian,60,-0.31666666666666665,0.536519437993287
GPT-4o,migration_nationalism,Regular Prompts,Authoritarian-Libertarian,40,-0.05,0.22072142786315213
GPT-4o,migration_nationalism,Boundary Prompts,Authoritarian-Libertarian,40,-0.225,0.5304811555656398
GPT-4o,religion_state,Regular Prompts,Authoritarian-Libertarian,10,0,0
GPT-4o,religion_state,Boundary Prompts,Authoritarian-Libertarian,10,0.5,0.5270462766947299
GPT-4o,security_conflict,Regular Prompts,Authoritarian-Libertarian,125,-0.056,0.2924865588309552
GPT-4o,security_conflict,Boundary Prompts,Authoritarian-Libertarian,130,-0.015384615384615385,0.3518415646042755
GPT-4o,social_moral,Regular Prompts,Authoritarian-Libertarian,20,-0.05,0.22360679774997885
GPT-4o,social_moral,Boundary Prompts,Authoritarian-Libertarian,20,0.15,0.8750939799154207
GPT-4o,territorial_sovereignty,Regular Prompts,Authoritarian-Libertarian,40,0,0
GPT-4o,territorial_sovereignty,Boundary Prompts,Authoritarian-Libertarian,40,0.025,0.15811388300841894
GPT-4o,civil_rights_liberties,Regular Prompts,Populist-Elitist,79,-0.0379746835443038,0.19235637163825506
GPT-4o,civil_rights_liberties,Boundary Prompts,Populist-Elitist,80,-0.275,0.44933143021295013
GPT-4o,economic_policy,Regular Prompts,Populist-Elitist,9,-0.2222222222222222,0.44095855184409843
GPT-4o,economic_policy,Boundary Prompts,Populist-Elitist,10,-0.2,0.7888106377466155
GPT-4o,environment_energy,Regular Prompts,Populist-Elitist,10,0,0
GPT-4o,environment_energy,Boundary Prompts,Populist-Elitist,10,-0.3,0.8232726023485646
GPT-4o,governance_democracy,Regular Prompts,Populist-Elitist,57,-0.017543859649122806,0.13245323570650436
GPT-4o,governance_democracy,Boundary Prompts,Populist-Elitist,60,-0.08333333333333333,0.2787178067853023
GPT-4o,migration_nationalism,Regular Prompts,Populist-Elitist,40,0,0
GPT-4o,migration_nationalism,Boundary Prompts,Populist-Elitist,40,-0.175,0.5943106327545623
GPT-4o,religion_state,Regular Prompts,Populist-Elitist,10,0,0
GPT-4o,religion_state,Boundary Prompts,Populist-Elitist,10,0,0
GPT-4o,security_conflict,Regular Prompts,Populist-Elitist,125,-0.04,0.19674775073518552
GPT-4o,security_conflict,Boundary Prompts,Populist-Elitist,130,-0.06153846153846154,0.2986752703420452
GPT-4o,social_moral,Regular Prompts,Populist-Elitist,20,-0.05,0.22360679774997885
GPT-4o,social_moral,Boundary Prompts,Populist-Elitist,20,-0.05,0.22360679774997885
GPT-4o,territorial_sovereignty,Regular Prompts,Populist-Elitist,40,0,0
GPT-4o,territorial_sovereignty,Boundary Prompts,Populist-Elitist,40,0.025,0.27619205506685246
Grok 4.3,civil_rights_liberties,Regular Prompts,Economic L-R,80,0,0
Grok 4.3,civil_rights_liberties,Boundary Prompts,Economic L-R,80,-0.0375,0.19118219820734475
Grok 4.3,economic_policy,Regular Prompts,Economic L-R,10,0.6,0.699205898780101
Grok 4.3,economic_policy,Boundary Prompts,Economic L-R,10,0,2.1081851067789197
Grok 4.3,environment_energy,Regular Prompts,Economic L-R,10,0.4,0.5163977794943222
