model_f,n,engagement_rate
Mistral Large 2512,800,1
Grok 4.3,799,0.9924906132665833
Qwen3-Max,800,0.99125
GPT-4o,799,0.9887359198998749
GPT-5.1,800,0.955
Claude Opus 4.5,798,0.9536340852130326
DeepSeek V3.1,800,0.935
