x,predicted,std.error,conf.low,conf.high,group
English,0.9500000000000021,0.3627381250550056,0.9032164617465052,0.9748001059450215,GPT-5.1
English,0.9312500000000026,0.3124427952522881,0.8801313299002114,0.9615218839308273,Claude Opus 4.5
English,0.9874213836477995,0.7115963931552763,0.9511257366381181,0.9968518962651187,GPT-4o
English,0.99375,1.0031397251510237,0.9570075379729929,0.9991202757452029,Grok 4.3
English,0.9937500000000001,1.003139725151007,0.957007537972995,0.9991202757452029,DeepSeek V3.1
English,0.9875000000000004,0.711568066964821,0.9514226061311751,0.9968715855068455,Qwen3-Max
English,0.9999999988297735,1401.7088290547588,2.2204460492503126e-16,0.9999999999999998,Mistral Large 2512
Chinese,0.9625000000000017,0.4161251892882421,0.9190569857170664,0.9830565200059637,GPT-5.1
Chinese,0.9687500000000013,0.45436946739765516,0.9271315303085578,0.9869332941552333,Claude Opus 4.5
Chinese,0.9937500000000005,1.0031397251510552,0.9570075379729939,0.999120275745203,GPT-4o
Chinese,0.9875000000000006,0.7115680669648242,0.9514226061311758,0.9968715855068456,Grok 4.3
Chinese,0.8375000000000046,0.2142993817739643,0.7720150086546573,0.88693033761637,DeepSeek V3.1
Chinese,0.9812500000000007,0.5828402526292537,0.9434963688931823,0.9939400745556194,Qwen3-Max
Chinese,0.9999999988297735,1401.7088161298184,2.2204460492503126e-16,0.9999999999999998,Mistral Large 2512
Japanese,0.9562500000000023,0.38651402376829913,0.9110865283433914,0.9790014829441752,GPT-5.1
Japanese,0.9433962264150965,0.34318767136623385,0.8948036063327489,0.9702881228853799,Claude Opus 4.5
Japanese,0.9812500000000012,0.5828402526292522,0.943496368893184,0.9939400745556196,GPT-4o
Japanese,0.987421383647799,0.7115963931552785,0.951125736638116,0.9968518962651186,Grok 4.3
Japanese,0.9500000000000011,0.36273812505500724,0.9032164617465029,0.9748001059450211,DeepSeek V3.1
Japanese,0.9937500000000001,1.0031397251510519,0.9570075379729919,0.999120275745203,Qwen3-Max
Japanese,0.9999999988297735,1401.7088290979282,2.2204460492503126e-16,0.9999999999999998,Mistral Large 2512
Indonesian,0.9625000000000027,0.41612518928825243,0.9190569857170671,0.9830565200059644,GPT-5.1
Indonesian,0.9437500000000026,0.3431233417699882,0.895439224678945,0.9704754690885022,Claude Opus 4.5
Indonesian,0.9937500000000005,1.0031397251510499,0.957007537972994,0.999120275745203,GPT-4o
Indonesian,0.9937500000000001,1.0031397251510479,0.9570075379729923,0.999120275745203,Grok 4.3
Indonesian,0.9500000000000007,0.36273812505500597,0.9032164617465025,0.9748001059450209,DeepSeek V3.1
Indonesian,0.9937500000000002,1.0031397251510632,0.9570075379729918,0.999120275745203,Qwen3-Max
Indonesian,0.9999999988297735,1401.7088160785495,2.2204460492503126e-16,0.9999999999999998,Mistral Large 2512
Arabic,0.9437500000000032,0.34312334176998643,0.8954392246789462,0.9704754690885024,GPT-5.1
Arabic,0.9811320754716986,0.5828752780343169,0.943151075009323,0.9939018818695097,Claude Opus 4.5
Arabic,0.9875000000000008,0.7115680669648194,0.9514226061311768,0.9968715855068456,GPT-4o
Arabic,0.9999999988297735,1401.7088162533628,2.2204460492503126e-16,0.9999999999999998,Grok 4.3
Arabic,0.9437500000000013,0.3431233417699864,0.895439224678943,0.9704754690885014,DeepSeek V3.1
Arabic,0.9999999988297735,1401.7088271885198,2.2204460492503126e-16,0.9999999999999998,Qwen3-Max
Arabic,0.9999999988297735,1401.7088290734712,2.2204460492503126e-16,0.9999999999999998,Mistral Large 2512
