response_language,refusal_justification,n,pct
ar,A,7,0.7777777777777778
ar,D,2,0.2222222222222222
en,A,3,0.3333333333333333
en,D,3,0.3333333333333333
en,C,2,0.2222222222222222
en,F,1,0.1111111111111111
zh,F,13,0.38235294117647056
zh,A,11,0.3235294117647059
zh,G,6,0.17647058823529413
zh,D,4,0.11764705882352941
