model_f,n,engagement_rate,refusal_rate
GPT-4o,400,1,0
Mistral Large 2512,400,1,0
Qwen3-Max,400,0.995,0.005
Grok 4.3,399,0.9899749373433584,0.010025062656641603
DeepSeek V3.1,400,0.96,0.04
Claude Opus 4.5,399,0.9598997493734336,0.040100250626566414
GPT-5.1,400,0.92,0.08
