prompt_category,n,engagement_rate
territorial_sovereignty,560,0.9517857142857142
security_conflict,1819,0.9587685541506322
governance_democracy,839,0.9630512514898689
civil_rights_liberties,1120,0.9919642857142857
migration_nationalism,560,0.9928571428571429
social_moral,279,0.996415770609319
economic_policy,139,1
environment_energy,140,1
religion_state,140,1
