statistic,value
overall_engagement,0.9737312365975697
overall_refusal,0.02626876340243031
deepseek_en_engagement,0.99375
deepseek_zh_engagement,0.8375
deepseek_gap,0.15625
top_refusal_domain_engagement,0.9517857142857142
top_refusal_domain_gap,0.021945522311855425
