canonical_run_id,label,bootstrap_unit,multiplicity_preserved,copy_id_column,seed,replicates_requested,replicates_drawn,replicates_successful,replicates_failed,failure_rate,failed_draws_replaced,interval_reliable,interval_method,n_rows,n_issues,method,n_issues_sampled,n_issues_frame,sampling_fraction,fpc,leave_one_out_failed
canon_010,c12|social_left_right|share_neg1,issue_id,TRUE,bootstrap_issue_instance,20260807,2000,2000,2000,0,0,FALSE,TRUE,percentile,6528,156,NA,NA,NA,NA,NA,NA
canon_010,c12|social_left_right|share_neg1|jack,issue_id,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,normal approximation,6528,NA,delete-one-issue jackknife with FPC,156,624,0.25,0.75,0
canon_010,c12|social_left_right|share_zero,issue_id,TRUE,bootstrap_issue_instance,20260807,2000,2000,2000,0,0,FALSE,TRUE,percentile,6528,156,NA,NA,NA,NA,NA,NA
canon_010,c12|social_left_right|share_zero|jack,issue_id,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,normal approximation,6528,NA,delete-one-issue jackknife with FPC,156,624,0.25,0.75,0
canon_010,c12|social_left_right|share_pos1,issue_id,TRUE,bootstrap_issue_instance,20260807,2000,2000,2000,0,0,FALSE,TRUE,percentile,6528,156,NA,NA,NA,NA,NA,NA
canon_010,c12|social_left_right|share_pos1|jack,issue_id,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,normal approximation,6528,NA,delete-one-issue jackknife with FPC,156,624,0.25,0.75,0
canon_010,c12|social_left_right|share_pos2,issue_id,TRUE,bootstrap_issue_instance,20260807,2000,2000,2000,0,0,FALSE,TRUE,percentile,6528,156,NA,NA,NA,NA,NA,NA
canon_010,c12|social_left_right|share_pos2|jack,issue_id,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,normal approximation,6528,NA,delete-one-issue jackknife with FPC,156,624,0.25,0.75,0
canon_010,c12|social_left_right|signed_mean,issue_id,TRUE,bootstrap_issue_instance,20260807,500,500,500,0,0,FALSE,TRUE,percentile,6528,156,NA,NA,NA,NA,NA,NA
canon_010,c12|social_left_right|signed_mean|jack,issue_id,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,normal approximation,6528,NA,delete-one-issue jackknife with FPC,156,624,0.25,0.75,0
