jurisdiction,outcome,outcome_role,weighting,support,n,n_issues,n_models,events_home,events_away,standardized_home_risk,standardized_away_risk,standardized_home_risk_pp,standardized_away_risk_pp,estimate,conf_low,conf_high,estimate_pp,conf_low_pp,conf_high_pp,estimable,interval_reliable,replicate_failure_rate,glm_warnings,note,model,estimand,multiplicity,canonical_run_id
US,capability_failure,diagnostic,nested,full target,2080,520,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,,separation on capability_failure: 0 home / 1 away events,gpt-5.1,model-specific standardized home-minus-away predictive contrast,exploratory model heterogeneity; no multiplicity adjustment,canon_019
US,genuine_refusal,primary,nested,full target,2080,520,1,4,29,0.016255452476970203,0.015812587705658538,1.6255452476970202,1.5812587705658538,4.42864771311665e-4,-0.016060360761152775,0.02337213899833511,0.0442864771311665,-1.6060360761152777,2.337213899833511,TRUE,TRUE,0,,,grok-4.3,model-specific standardized home-minus-away predictive contrast,exploratory model heterogeneity; no multiplicity adjustment,canon_019
US,capability_failure,diagnostic,nested,full target,2080,520,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,,separation on capability_failure: 0 home / 1 away events,grok-4.3,model-specific standardized home-minus-away predictive contrast,exploratory model heterogeneity; no multiplicity adjustment,canon_019
CN,genuine_refusal,primary,nested,full target,2080,520,1,65,67,0.18732078437044766,0.03824539932625152,18.732078437044766,3.824539932625152,0.14907538504419615,0.07529914909882554,0.23688763254793813,14.907538504419616,7.529914909882554,23.688763254793813,TRUE,TRUE,0,,,hunyuan-a13b,model-specific standardized home-minus-away predictive contrast,exploratory model heterogeneity; no multiplicity adjustment,canon_019
CN,capability_failure,diagnostic,nested,full target,2080,520,1,49,374,0.12367707278530364,0.2225860016458464,12.367707278530364,22.258600164584642,-0.09890892886054277,-0.14372313049452543,-0.04320224176633883,-9.890892886054276,-14.372313049452542,-4.320224176633883,TRUE,TRUE,0,,,hunyuan-a13b,model-specific standardized home-minus-away predictive contrast,exploratory model heterogeneity; no multiplicity adjustment,canon_019
MENA,genuine_refusal,primary,nested,full target,2080,520,1,21,33,0.0363439564742199,0.02199634488555672,3.6343956474219903,2.199634488555672,0.014347611588663184,-0.003832786596341804,0.034814193062006726,1.4347611588663183,-0.3832786596341804,3.4814193062006726,TRUE,TRUE,0,,,jais-8b,model-specific standardized home-minus-away predictive contrast,exploratory model heterogeneity; no multiplicity adjustment,canon_019
MENA,capability_failure,diagnostic,nested,full target,2080,520,1,3,58,0.007021670565847146,0.035089105023161135,0.7021670565847146,3.5089105023161133,-0.028067434457313988,-0.0415164044606348,-0.015630349796946767,-2.806743445731399,-4.15164044606348,-1.5630349796946768,TRUE,TRUE,0,,,jais-8b,model-specific standardized home-minus-away predictive contrast,exploratory model heterogeneity; no multiplicity adjustment,canon_019
CN,genuine_refusal,primary,nested,full target,2080,520,1,58,178,0.16489718716592106,0.10218351081343563,16.489718716592105,10.218351081343563,0.06271367635248543,0.006904101266631461,0.13289932372818247,6.271367635248542,0.690410126663146,13.289932372818248,TRUE,TRUE,0,,,kimi-k2.5,model-specific standardized home-minus-away predictive contrast,exploratory model heterogeneity; no multiplicity adjustment,canon_019
CN,capability_failure,diagnostic,nested,full target,2080,520,1,7,8,0.019199577561661962,0.004649583644042228,1.9199577561661962,0.4649583644042228,0.014549993917619734,5.653448031878255e-4,0.39100018633727623,1.4549993917619735,0.05653448031878255,39.10001863372762,TRUE,TRUE,0,,,kimi-k2.5,model-specific standardized home-minus-away predictive contrast,exploratory model heterogeneity; no multiplicity adjustment,canon_019
US,genuine_refusal,primary,nested,full target,2080,520,1,11,28,0.029372926601273264,0.01641652659272212,2.9372926601273264,1.6416526592722118,0.012956400008551146,-0.006135382585839807,0.040574510412022216,1.2956400008551145,-0.6135382585839807,4.0574510412022216,TRUE,TRUE,0,,,llama-4-scout,model-specific standardized home-minus-away predictive contrast,exploratory model heterogeneity; no multiplicity adjustment,canon_019
US,capability_failure,diagnostic,nested,full target,2080,520,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,,separation on capability_failure: 0 home / 2 away events,llama-4-scout,model-specific standardized home-minus-away predictive contrast,exploratory model heterogeneity; no multiplicity adjustment,canon_019
EU,genuine_refusal,primary,nested,full target,2080,520,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,,separation on genuine_refusal: 1 home / 0 away events,ministral-14b,model-specific standardized home-minus-away predictive contrast,exploratory model heterogeneity; no multiplicity adjustment,canon_019
EU,capability_failure,diagnostic,nested,full target,2080,520,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,,separation on capability_failure: 0 home / 1 away events,ministral-14b,model-specific standardized home-minus-away predictive contrast,exploratory model heterogeneity; no multiplicity adjustment,canon_019
EU,genuine_refusal,primary,nested,full target,2080,520,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,,separation on genuine_refusal: 0 home / 1 away events,mistral-large-2512,model-specific standardized home-minus-away predictive contrast,exploratory model heterogeneity; no multiplicity adjustment,canon_019
EU,capability_failure,diagnostic,nested,full target,2080,520,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,,separation on capability_failure: 0 home / 1 away events,mistral-large-2512,model-specific standardized home-minus-away predictive contrast,exploratory model heterogeneity; no multiplicity adjustment,canon_019
US,genuine_refusal,primary,nested,full target,2080,520,1,4,12,0.011994952763399062,0.0068654921832040266,1.1994952763399063,0.6865492183204026,0.005129460580195036,-0.00812916099420244,0.025611488965241753,0.5129460580195035,-0.8129160994202441,2.561148896524175,TRUE,TRUE,0,,,nova-lite,model-specific standardized home-minus-away predictive contrast,exploratory model heterogeneity; no multiplicity adjustment,canon_019
US,capability_failure,diagnostic,nested,full target,2080,520,1,7,30,0.0318093282653248,0.016110530907207866,3.18093282653248,1.6110530907207865,0.015698797358116936,-0.008562321418497948,0.047307836434512376,1.5698797358116936,-0.8562321418497948,4.730783643451238,TRUE,TRUE,0,,,nova-lite,model-specific standardized home-minus-away predictive contrast,exploratory model heterogeneity; no multiplicity adjustment,canon_019
CN,genuine_refusal,primary,nested,full target,2080,520,1,35,55,0.10913255024578077,0.03101493853702972,10.913255024578076,3.1014938537029724,0.07811761170875105,0.03179727869550887,0.1450382999128904,7.811761170875105,3.179727869550887,14.503829991289042,TRUE,TRUE,0,,,qwen3-max,model-specific standardized home-minus-away predictive contrast,exploratory model heterogeneity; no multiplicity adjustment,canon_019
CN,capability_failure,diagnostic,nested,full target,2080,520,1,144,48,0.22917795510667013,0.03607028794076149,22.917795510667013,3.607028794076149,0.19310766716590866,0.10323106517235207,0.36081153012104294,19.310766716590866,10.323106517235207,36.081153012104295,TRUE,TRUE,0,,,qwen3-max,model-specific standardized home-minus-away predictive contrast,exploratory model heterogeneity; no multiplicity adjustment,canon_019
India,genuine_refusal,primary,nested,full target,2076,520,1,33,106,0.04856220323089199,0.07457359745142882,4.856220323089199,7.457359745142882,-0.026011394220536825,-0.05056941124016628,0.0011524827411994697,-2.6011394220536825,-5.056941124016627,0.11524827411994697,TRUE,TRUE,0,,,sarvam-30b,model-specific standardized home-minus-away predictive contrast,exploratory model heterogeneity; no multiplicity adjustment,canon_019
India,capability_failure,diagnostic,nested,full target,2076,520,1,1,4,0.0035278094890233754,0.002226530631201972,0.3527809489023375,0.22265306312019723,0.0013012788578214032,-0.003721885560201022,0.009122643039249098,0.13012788578214032,-0.3721885560201022,0.9122643039249099,TRUE,TRUE,0.008,glm.fit: fitted probabilities numerically 0 or 1 occurred,,sarvam-30b,model-specific standardized home-minus-away predictive contrast,exploratory model heterogeneity; no multiplicity adjustment,canon_019
