jurisdiction,language,home_status,n,n_issues,outcome,events,rate,estimate,estimate_pp,outcome_role,sample,canonical_run_id
EU,hi,home,832,104,capability_failure,548,0.6586538461538461,0.6586538461538461,65.86538461538461,diagnostic,all delivered languages; descriptive only,canon_019
EU,ru,away,3328,416,genuine_refusal,2,6.009615384615385e-4,6.009615384615385e-4,0.06009615384615385,primary,all delivered languages; descriptive only,canon_019
EU,ru,away,3328,416,capability_failure,1,3.0048076923076925e-4,3.0048076923076925e-4,0.030048076923076924,diagnostic,all delivered languages; descriptive only,canon_019
EU,ru,general,832,104,genuine_refusal,0,0,0,0,primary,all delivered languages; descriptive only,canon_019
EU,ru,general,832,104,capability_failure,0,0,0,0,diagnostic,all delivered languages; descriptive only,canon_019
EU,ru,home,832,104,genuine_refusal,0,0,0,0,primary,all delivered languages; descriptive only,canon_019
EU,ru,home,832,104,capability_failure,0,0,0,0,diagnostic,all delivered languages; descriptive only,canon_019
EU,zh,away,3328,416,genuine_refusal,0,0,0,0,primary,all delivered languages; descriptive only,canon_019
EU,zh,away,3328,416,capability_failure,0,0,0,0,diagnostic,all delivered languages; descriptive only,canon_019
EU,zh,general,832,104,genuine_refusal,0,0,0,0,primary,all delivered languages; descriptive only,canon_019
EU,zh,general,832,104,capability_failure,0,0,0,0,diagnostic,all delivered languages; descriptive only,canon_019
EU,zh,home,832,104,genuine_refusal,0,0,0,0,primary,all delivered languages; descriptive only,canon_019
EU,zh,home,832,104,capability_failure,1,0.001201923076923077,0.001201923076923077,0.1201923076923077,diagnostic,all delivered languages; descriptive only,canon_019
India,ar,away,1654,416,genuine_refusal,7,0.004232164449818622,0.004232164449818622,0.42321644498186217,primary,all delivered languages; descriptive only,canon_019
India,ar,away,1654,416,capability_failure,1410,0.8524788391777509,0.8524788391777509,85.24788391777508,diagnostic,all delivered languages; descriptive only,canon_019
India,ar,general,416,104,genuine_refusal,1,0.002403846153846154,0.002403846153846154,0.2403846153846154,primary,all delivered languages; descriptive only,canon_019
India,ar,general,416,104,capability_failure,350,0.8413461538461539,0.8413461538461539,84.13461538461539,diagnostic,all delivered languages; descriptive only,canon_019
India,ar,home,414,104,genuine_refusal,2,0.004830917874396135,0.004830917874396135,0.4830917874396135,primary,all delivered languages; descriptive only,canon_019
India,ar,home,414,104,capability_failure,361,0.8719806763285024,0.8719806763285024,87.19806763285024,diagnostic,all delivered languages; descriptive only,canon_019
India,en,away,1660,416,genuine_refusal,106,0.06385542168674699,0.06385542168674699,6.385542168674699,primary,all delivered languages; descriptive only,canon_019
India,en,away,1660,416,capability_failure,4,0.0024096385542168677,0.0024096385542168677,0.24096385542168677,diagnostic,all delivered languages; descriptive only,canon_019
India,en,general,414,104,genuine_refusal,15,0.036231884057971016,0.036231884057971016,3.6231884057971016,primary,all delivered languages; descriptive only,canon_019
India,en,general,414,104,capability_failure,1,0.0024154589371980675,0.0024154589371980675,0.24154589371980675,diagnostic,all delivered languages; descriptive only,canon_019
India,en,home,416,104,genuine_refusal,33,0.07932692307692307,0.07932692307692307,7.9326923076923075,primary,all delivered languages; descriptive only,canon_019
India,en,home,416,104,capability_failure,1,0.002403846153846154,0.002403846153846154,0.2403846153846154,diagnostic,all delivered languages; descriptive only,canon_019
India,hi,away,1627,416,genuine_refusal,19,0.011677934849416103,0.011677934849416103,1.1677934849416103,primary,all delivered languages; descriptive only,canon_019
India,hi,away,1627,416,capability_failure,1372,0.8432698217578365,0.8432698217578365,84.32698217578366,diagnostic,all delivered languages; descriptive only,canon_019
India,hi,general,413,104,genuine_refusal,3,0.007263922518159807,0.007263922518159807,0.7263922518159807,primary,all delivered languages; descriptive only,canon_019
India,hi,general,413,104,capability_failure,364,0.8813559322033898,0.8813559322033898,88.13559322033898,diagnostic,all delivered languages; descriptive only,canon_019
India,hi,home,416,104,genuine_refusal,6,0.014423076923076924,0.014423076923076924,1.4423076923076923,primary,all delivered languages; descriptive only,canon_019
