language,outcome,outcome_role,weighting,estimate,conf_low,conf_high,estimate_pp,conf_low_pp,conf_high_pp,mean_english,mean_target,n_complete_blocks,n_models,interval_reliable,estimand,sample,changed,canonical_run_id
zh,original_nonengagement,measurement sensitivity,equal_model,0.01319700388721682,0.009093908963354776,0.017229364788767715,1.319700388721682,0.9093908963354775,1.7229364788767714,0.051425900367231374,0.0646229042544482,27440,11,TRUE,paired target-language minus English difference,original eleven models with Gemini labels,outcome definition and roster relative to the 18-model primary analysis,canon_019
ar,original_nonengagement,measurement sensitivity,equal_model,0.023299853621407747,0.018998959396671438,0.0269527606399031,2.329985362140775,1.8998959396671438,2.6952760639903097,0.05143233392740883,0.07473218754881657,27437,11,TRUE,paired target-language minus English difference,original eleven models with Gemini labels,outcome definition and roster relative to the 18-model primary analysis,canon_019
ru,original_nonengagement,measurement sensitivity,equal_model,0.03939008290934524,0.03564459433900783,0.04339866988852939,3.939008290934524,3.564459433900783,4.339866988852939,0.05144813093749209,0.09083821384683731,27430,11,TRUE,paired target-language minus English difference,original eleven models with Gemini labels,outcome definition and roster relative to the 18-model primary analysis,canon_019
hi,original_nonengagement,measurement sensitivity,equal_model,0.08495386495265736,0.0802495120508319,0.0888735582314094,8.495386495265736,8.024951205083191,8.88735582314094,0.051511728642723215,0.13646559359538057,27402,11,TRUE,paired target-language minus English difference,original eleven models with Gemini labels,outcome definition and roster relative to the 18-model primary analysis,canon_019
