prompt_category,n,genuine_refusal_n,genuine_refusal_rate,capability_failure_n,capability_failure_rate,original_nonengagement_n,original_nonengagement_observed_n,original_nonengagement_rate
security_conflict,28793,1476,0.05126245962560345,7013,0.24356614454902234,2315,17593,0.1315864264195987
civil_rights_liberties,28789,1019,0.03539546354510403,6402,0.22237660217444163,1481,17589,0.08420035249303542
territorial_sovereignty,28784,984,0.03418565869927738,6877,0.23891745414118956,1659,17584,0.09434713375796179
religion_state,23036,759,0.03294842854662268,4972,0.21583608265323842,1176,14076,0.08354646206308611
social_moral,12953,375,0.028950822203350574,2964,0.22882729869528295,609,7914,0.07695223654283548
governance_democracy,28780,788,0.02738012508686588,6869,0.2386726893676164,1626,17581,0.09248620670041523
migration_nationalism,28787,449,0.015597318233925036,7025,0.24403376524125472,1148,17587,0.06527548757605049
economic_policy,28789,194,0.006738684914377019,6772,0.23522873319670706,969,17589,0.05509125021320143
environment_energy,15833,83,0.005242215625592118,3669,0.2317311943409335,492,9673,0.050863227540576865
