jurisdiction,cells_total,cells_both_arms,rows_total,rows_retained,issues_total,issues_retained,target_weight_retained,support_definition,unsupported_target_weight,canonical_run_id
CN,270,90,10400,4300,520,215,0.4134615384615678,model x domain x route_f x tier,0.5865384615384321,canon_019
MENA,162,120,6240,4812,520,401,0.7711538461538435,model x domain x route_f x tier,0.22884615384615647,canon_019
India,54,30,2076,1443,520,361,0.6942307692307669,model x domain x route_f x tier,0.3057692307692331,canon_019
US,378,308,14559,13355,520,477,0.9173076923076892,model x domain x route_f x tier,0.08269230769231084,canon_019
EU,108,92,4160,3968,520,496,0.9538461538462553,model x domain x route_f x tier,0.04615384615374474,canon_019
