judge_model,n,refusal_rate,mean_engagement,pct_code_1,n_distinct_codes,degenerate,canonical_run_id
google/gemini-2.5-flash-lite,27449,0.05140442274764108,1.3351306058508516,0.7840358483004846,5,FALSE,canon_012
google/gemma-4-31b-it,27449,0.03391744690152647,1.2469306714270056,0.8399213086086925,5,FALSE,canon_012
nvidia/nemotron-3-nano-30b-a3b,27449,0.029691427738715435,1.1061240846661051,0.9637145251193122,5,FALSE,canon_012
nvidia/nemotron-3-super-120b-a12b,27429,0.0443326406358234,1.214918516898165,0.8866892704801488,5,FALSE,canon_012
