canonical_run_id,sensitivity,jurisdiction,level,weighting,n,n_issues,n_models,events_home,events_away,estimate,conf_low,conf_high,estimate_pp,conf_low_pp,conf_high_pp,estimable,note,outcome,estimator,glm_warnings,separation_detected,separation_blocking,separation_reason,observed_fit_extreme_weight,counterfactual_extreme_weight,interval_reliable,replicate_failure_rate,estimand,causal_interpretation,sample
canon_010,hierarchical_marginal,CN,(1|issue_id)+(1|prompt_id),nested,4160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,DIFFERENT ESTIMAND: integrates over the issue random effect instead of standardizing over the observed issue set. Not comparable to the sensitivity forest and deliberately not plotted beside it.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,covariate-standardized home-region refusal contrast (sensitivity),"covariate-standardized home-region refusal contrast; NOT causal, NOT a difference-in-differences, NOT a within-issue effect; adjustment controls measured composition only and cannot remove unmeasured differences between home and away issues",English
canon_010,hierarchical_marginal,MENA,(1|issue_id)+(1|prompt_id),nested,6240,NA,NA,NA,NA,0.03794310334438457,NA,NA,3.7943103344384568,NA,NA,TRUE,DIFFERENT ESTIMAND: integrates over the issue random effect instead of standardizing over the observed issue set. Not comparable to the sensitivity forest and deliberately not plotted beside it.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,covariate-standardized home-region refusal contrast (sensitivity),"covariate-standardized home-region refusal contrast; NOT causal, NOT a difference-in-differences, NOT a within-issue effect; adjustment controls measured composition only and cannot remove unmeasured differences between home and away issues",English
canon_010,hierarchical_marginal,India,(1|issue_id)+(1|prompt_id),nested,2076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,DIFFERENT ESTIMAND: integrates over the issue random effect instead of standardizing over the observed issue set. Not comparable to the sensitivity forest and deliberately not plotted beside it.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,covariate-standardized home-region refusal contrast (sensitivity),"covariate-standardized home-region refusal contrast; NOT causal, NOT a difference-in-differences, NOT a within-issue effect; adjustment controls measured composition only and cannot remove unmeasured differences between home and away issues",English
canon_010,hierarchical_marginal,US,(1|issue_id)+(1|prompt_id),nested,8319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,DIFFERENT ESTIMAND: integrates over the issue random effect instead of standardizing over the observed issue set. Not comparable to the sensitivity forest and deliberately not plotted beside it.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,covariate-standardized home-region refusal contrast (sensitivity),"covariate-standardized home-region refusal contrast; NOT causal, NOT a difference-in-differences, NOT a within-issue effect; adjustment controls measured composition only and cannot remove unmeasured differences between home and away issues",English
canon_010,hierarchical_marginal,EU,(1|issue_id)+(1|prompt_id),nested,2080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,DIFFERENT ESTIMAND: integrates over the issue random effect instead of standardizing over the observed issue set. Not comparable to the sensitivity forest and deliberately not plotted beside it.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,covariate-standardized home-region refusal contrast (sensitivity),"covariate-standardized home-region refusal contrast; NOT causal, NOT a difference-in-differences, NOT a within-issue effect; adjustment controls measured composition only and cannot remove unmeasured differences between home and away issues",English
