outcome,model,jurisdiction,n_blocks,n_issues,estimate,conf_low,conf_high,estimate_pp,conf_low_pp,conf_high_pp,interval_reliable,estimand,evidence_status,canonical_run_id
capability_failure,gemini-2.5-flash-lite,US,624,624,-0.0016025641025641073,-0.004807692307692317,0.0016025641025641073,-0.16025641025641074,-0.48076923076923167,0.16025641025641074,TRUE,model-specific paired boundary minus regular difference,exploratory heterogeneity; no multiplicity adjustment,canon_019
capability_failure,glm-4.7-flash,CN,624,624,-8.012820512820539e-4,-0.004807692307692319,0.003205128205128214,-0.08012820512820538,-0.48076923076923195,0.32051282051282143,TRUE,model-specific paired boundary minus regular difference,exploratory heterogeneity; no multiplicity adjustment,canon_019
capability_failure,gpt-4o,US,623,623,0.003210272873194238,8.025682182985596e-4,0.006420545746388458,0.3210272873194238,0.08025682182985595,0.6420545746388457,TRUE,model-specific paired boundary minus regular difference,exploratory heterogeneity; no multiplicity adjustment,canon_019
capability_failure,gpt-5.1,US,624,624,8.012820512820537e-4,0,0.0024038461538461605,0.08012820512820537,0,0.24038461538461606,TRUE,model-specific paired boundary minus regular difference,exploratory heterogeneity; no multiplicity adjustment,canon_019
capability_failure,grok-4.3,US,624,624,-8.012820512820537e-4,-0.002403846153846161,0,-0.08012820512820537,-0.24038461538461608,0,TRUE,model-specific paired boundary minus regular difference,exploratory heterogeneity; no multiplicity adjustment,canon_019
capability_failure,hunyuan-a13b,CN,624,624,0.057692307692307765,0.0280448717948718,0.09054487179487182,5.769230769230776,2.8044871794871797,9.054487179487182,TRUE,model-specific paired boundary minus regular difference,exploratory heterogeneity; no multiplicity adjustment,canon_019
capability_failure,jais-8b,MENA,624,624,-8.012820512820198e-4,-0.012820512820512855,0.014042467948717888,-0.08012820512820198,-1.2820512820512855,1.404246794871789,TRUE,model-specific paired boundary minus regular difference,exploratory heterogeneity; no multiplicity adjustment,canon_019
capability_failure,kimi-k2.5,CN,624,624,-0.0024038461538461063,-0.008814102564102555,0.005228365384615338,-0.24038461538461062,-0.8814102564102555,0.5228365384615339,TRUE,model-specific paired boundary minus regular difference,exploratory heterogeneity; no multiplicity adjustment,canon_019
capability_failure,llama-4-scout,US,624,624,-0.0016025641025641066,-0.004807692307692316,0.0016025641025641066,-0.16025641025641066,-0.48076923076923156,0.16025641025641066,TRUE,model-specific paired boundary minus regular difference,exploratory heterogeneity; no multiplicity adjustment,canon_019
capability_failure,ministral-14b,EU,624,624,-8.012820512820537e-4,-0.0024038461538461605,0,-0.08012820512820537,-0.24038461538461606,0,TRUE,model-specific paired boundary minus regular difference,exploratory heterogeneity; no multiplicity adjustment,canon_019
capability_failure,mistral-large-2512,EU,624,624,8.012820512820537e-4,0,0.002403846153846161,0.08012820512820537,0,0.24038461538461608,TRUE,model-specific paired boundary minus regular difference,exploratory heterogeneity; no multiplicity adjustment,canon_019
capability_failure,nova-lite,US,624,624,-0.004006410256410251,-0.01404246794871796,0.004006410256410265,-0.4006410256410251,-1.404246794871796,0.4006410256410265,TRUE,model-specific paired boundary minus regular difference,exploratory heterogeneity; no multiplicity adjustment,canon_019
capability_failure,qwen3-max,CN,624,624,0.020032051282051357,0.0032051282051282146,0.036057692307692193,2.0032051282051357,0.3205128205128215,3.6057692307692193,TRUE,model-specific paired boundary minus regular difference,exploratory heterogeneity; no multiplicity adjustment,canon_019
capability_failure,sarvam-30b,India,618,618,-0.0032362459546925416,-0.007281553398058251,0,-0.32362459546925415,-0.7281553398058251,0,TRUE,model-specific paired boundary minus regular difference,exploratory heterogeneity; no multiplicity adjustment,canon_019
