jurisdiction,home_status,n,n_issues,outcome,events,rate,quantity,estimate,estimate_pp,weighting,conf_low,conf_high,conf_low_pp,conf_high_pp,interval_reliable,replicate_failure_rate,outcome_role,sample,estimand,general_handling,causal_interpretation,canonical_run_id
CN,NA,10400,520,genuine_refusal,NA,NA,home minus away,0.057932692307692144,5.793269230769214,equal model,0.036418514412417155,0.08039638726026843,3.6418514412417156,8.039638726026844,TRUE,0,primary,English,unadjusted equal-model home-minus-away difference,general is separate and never away,none,canon_019
CN,NA,10400,520,capability_failure,NA,NA,home minus away,0.05252403846153832,5.252403846153832,equal model,0.03732626604347675,0.0711788877959113,3.732626604347675,7.11788877959113,TRUE,0,diagnostic,English,unadjusted equal-model home-minus-away difference,general is separate and never away,none,canon_019
MENA,NA,6240,520,genuine_refusal,NA,NA,home minus away,0.034655448717948685,3.4655448717948687,equal model,0.01411793146899792,0.05613054695562456,1.411793146899792,5.6130546955624565,TRUE,0,primary,English,unadjusted equal-model home-minus-away difference,general is separate and never away,none,canon_019
MENA,NA,6240,520,capability_failure,NA,NA,home minus away,-0.017027243589743446,-1.7027243589743446,equal model,-0.033395183503463044,0.00345679307037583,-3.3395183503463044,0.345679307037583,TRUE,0,diagnostic,English,unadjusted equal-model home-minus-away difference,general is separate and never away,none,canon_019
India,NA,2076,520,genuine_refusal,NA,NA,home minus away,0.015471501390176168,1.5471501390176168,equal model,-0.014301617972074703,0.04705956877478332,-1.4301617972074703,4.705956877478331,TRUE,0,primary,English,unadjusted equal-model home-minus-away difference,general is separate and never away,none,canon_019
India,NA,2076,520,capability_failure,NA,NA,home minus away,-5.7924003707137024e-06,-5.792400370713702e-4,equal model,-0.004169668591090892,0.005813993577926968,-0.4169668591090892,0.5813993577926968,TRUE,0,diagnostic,English,unadjusted equal-model home-minus-away difference,general is separate and never away,none,canon_019
US,NA,14559,520,genuine_refusal,NA,NA,home minus away,-0.010731869040460374,-1.0731869040460373,equal model,-0.017208089039323846,-0.004501440327370605,-1.7208089039323846,-0.4501440327370605,TRUE,0,primary,English,unadjusted equal-model home-minus-away difference,general is separate and never away,none,canon_019
US,NA,14559,520,capability_failure,NA,NA,home minus away,-3.4356146709574363e-4,-0.03435614670957436,equal model,-0.002692258732658695,0.0024711700108237234,-0.2692258732658695,0.24711700108237233,TRUE,0,diagnostic,English,unadjusted equal-model home-minus-away difference,general is separate and never away,none,canon_019
EU,NA,4160,520,genuine_refusal,NA,NA,home minus away,9.014423076923077e-4,0.09014423076923077,equal model,-8.865248226950354e-4,0.00375085077204388,-0.08865248226950355,0.375085077204388,TRUE,0,primary,English,unadjusted equal-model home-minus-away difference,general is separate and never away,none,canon_019
EU,NA,4160,520,capability_failure,NA,NA,home minus away,-6.009615384615385e-4,-0.06009615384615385,equal model,-0.001500692474866261,0,-0.1500692474866261,0,TRUE,0,diagnostic,English,unadjusted equal-model home-minus-away difference,general is separate and never away,none,canon_019
