model,prompt_language,n,n_issues,genuine_refusal_n,genuine_refusal_rate,capability_failure_n,capability_failure_rate,note,canonical_run_id
glm-4.7-flash,hi,2496,624,4,0.0016025641025641025,1198,0.47996794871794873,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
glm-4.7-flash,ru,2496,624,25,0.010016025641025642,17,0.006810897435897436,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
glm-4.7-flash,zh,2496,624,61,0.024439102564102564,9,0.003605769230769231,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
gpt-4o,ar,2496,624,13,0.005208333333333333,3,0.001201923076923077,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
gpt-4o,en,2495,624,9,0.0036072144288577155,4,0.0016032064128256513,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
gpt-4o,hi,2496,624,3,0.001201923076923077,1962,0.7860576923076923,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
gpt-4o,ru,2496,624,19,0.007612179487179487,0,0,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
gpt-4o,zh,2496,624,12,0.004807692307692308,0,0,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
gpt-5.1,ar,2496,624,136,0.05448717948717949,5,0.002003205128205128,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
gpt-5.1,en,2496,624,109,0.04366987179487179,1,0.00040064102564102563,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
gpt-5.1,hi,2496,624,45,0.018028846153846152,1800,0.7211538461538461,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
gpt-5.1,ru,2496,624,79,0.031650641025641024,2,8.012820512820513e-4,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
gpt-5.1,zh,2496,624,89,0.03565705128205128,2,8.012820512820513e-4,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
grok-4.3,ar,2496,624,44,0.017628205128205128,92,0.03685897435897436,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
grok-4.3,en,2496,624,37,0.014823717948717948,1,0.00040064102564102563,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
grok-4.3,hi,2496,624,34,0.013621794871794872,1936,0.7756410256410257,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
grok-4.3,ru,2496,624,35,0.014022435897435898,200,0.08012820512820513,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
grok-4.3,zh,2496,624,55,0.022035256410256412,184,0.07371794871794872,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
hunyuan-a13b,ar,2496,624,49,0.019631410256410256,74,0.029647435897435896,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
hunyuan-a13b,en,2496,624,147,0.05889423076923077,482,0.19310897435897437,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
hunyuan-a13b,hi,2496,624,19,0.007612179487179487,1238,0.49599358974358976,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
hunyuan-a13b,ru,2496,624,51,0.020432692307692308,324,0.12980769230769232,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
hunyuan-a13b,zh,2496,624,273,0.109375,111,0.04447115384615385,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
jais-8b,ar,2496,624,70,0.028044871794871796,62,0.024839743589743588,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
jais-8b,en,2496,624,66,0.026442307692307692,71,0.02844551282051282,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
jais-8b,hi,2495,624,16,0.006412825651302605,2403,0.96312625250501,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
jais-8b,ru,2496,624,16,0.00641025641025641,2348,0.9407051282051282,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
jais-8b,zh,2496,624,52,0.020833333333333332,1244,0.4983974358974359,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
kimi-k2.5,ar,2496,624,133,0.05328525641025641,107,0.042868589743589744,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
kimi-k2.5,en,2496,624,258,0.10336538461538461,17,0.006810897435897436,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
kimi-k2.5,hi,2496,624,260,0.10416666666666667,1095,0.4387019230769231,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
kimi-k2.5,ru,2496,624,436,0.17467948717948717,74,0.029647435897435896,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
kimi-k2.5,zh,2495,624,241,0.09659318637274548,25,0.01002004008016032,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
llama-4-scout,ar,2496,624,156,0.0625,14,0.005608974358974359,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
llama-4-scout,en,2496,624,48,0.019230769230769232,4,0.0016025641025641025,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
llama-4-scout,hi,2496,624,69,0.027644230769230768,1084,0.4342948717948718,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
llama-4-scout,ru,2496,624,81,0.03245192307692308,37,0.014823717948717948,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
llama-4-scout,zh,2496,624,17,0.006810897435897436,10,0.004006410256410256,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
ministral-14b,ar,2496,624,2,8.012820512820513e-4,14,0.005608974358974359,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
ministral-14b,en,2496,624,1,0.00040064102564102563,1,0.00040064102564102563,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
ministral-14b,hi,2496,624,2,8.012820512820513e-4,898,0.359775641025641,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
ministral-14b,ru,2496,624,2,8.012820512820513e-4,0,0,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
ministral-14b,zh,2496,624,0,0,1,0.00040064102564102563,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
mistral-large-2512,ar,2496,624,0,0,3,0.001201923076923077,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
mistral-large-2512,en,2496,624,2,8.012820512820513e-4,1,0.00040064102564102563,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
mistral-large-2512,hi,2495,624,1,4.008016032064128e-4,1871,0.7498997995991984,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
mistral-large-2512,ru,2496,624,0,0,1,0.00040064102564102563,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
mistral-large-2512,zh,2496,624,0,0,0,0,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
nova-lite,ar,2496,624,46,0.01842948717948718,109,0.04366987179487179,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
nova-lite,en,2496,624,18,0.007211538461538462,37,0.014823717948717948,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
nova-lite,hi,2496,624,5,0.002003205128205128,1132,0.453525641025641,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
nova-lite,ru,2496,624,10,0.004006410256410256,45,0.018028846153846152,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
nova-lite,zh,2496,624,11,0.004407051282051282,44,0.017628205128205128,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
qwen3-max,ar,2496,624,32,0.01282051282051282,35,0.014022435897435898,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
qwen3-max,en,2496,624,104,0.041666666666666664,203,0.08133012820512821,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
qwen3-max,hi,2495,624,21,0.008416833667334669,1943,0.7787575150300601,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
qwen3-max,ru,2496,624,34,0.013621794871794872,20,0.008012820512820512,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
qwen3-max,zh,2496,624,105,0.042067307692307696,225,0.09014423076923077,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
sarvam-30b,ar,2484,624,10,0.004025764895330112,2121,0.8538647342995169,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
sarvam-30b,en,2490,624,154,0.061847389558232935,6,0.0024096385542168677,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
sarvam-30b,hi,2456,624,28,0.011400651465798045,1931,0.7862377850162866,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
sarvam-30b,ru,2477,624,9,0.0036334275333064193,2281,0.9208720226079935,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
sarvam-30b,zh,2494,624,15,0.006014434643143544,1833,0.7349639133921412,raw cell description; paired language estimands are c08/c09; outcomes are separate and may overlap,canon_019
