judge_model,version,n,canonical_run_id
google/gemini-2.5-flash-lite,c369f0cb8194,11,canon_009
google/gemini-2.5-flash-lite,NA,27438,canon_009
google/gemma-4-31b-it,c369f0cb8194,27449,canon_009
nvidia/nemotron-3-nano-30b-a3b,c369f0cb8194,27449,canon_009
nvidia/nemotron-3-super-120b-a12b,c369f0cb8194,27429,canon_009
