construct,scale,n_units,n_judges,raw_agreement,krippendorff_alpha,alpha_low,alpha_high,gwet_ac1,gwet_statistic,ac1_low,ac1_high,psa_mean,psa_min,psa_max,n_pairs,psa_conf_low,psa_conf_high,all_rater_positive_unanimity,prevalence,psa_definition,n_units_complete,codebook,language,primary_sample,n_units_primary,sample_note,canonical_run_id
engagement code (1-5),ordinal,27449,4,0.7735436627928157,0.5114493914788789,NA,NA,0.97183,"AC2, ordinal weights",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise 2a/(2a+b+c), mean over judge pairs (Cicchetti-Feinstein)",27429,stamped version(s): c369f0cb8194; 27438 of 109776 rows unstamped (anchor labels predate version stamping),en,all-judge complete case,27429,n_units is pairwise-available; n_units_complete is the PRIMARY all-judge complete-case sample. They are different samples and are not pooled.,canon_012
refused (>=4),binary,27449,4,0.9618565339356625,0.7280199180383196,0.7062788769545763,0.7471374946477005,0.97747,"AC1, unweighted (binary)",0.97544,0.97922575,0.7365028754647998,0.6549865229110512,0.7966488956587966,6,0.7141318497461226,0.7560353576902639,0.3623629719853837,0.039835665354904536,"pairwise 2a/(2a+b+c), mean over judge pairs (Cicchetti-Feinstein)",27429,stamped version(s): c369f0cb8194; 27438 of 109776 rows unstamped (anchor labels predate version stamping),en,all-judge complete case,27429,n_units is pairwise-available; n_units_complete is the PRIMARY all-judge complete-case sample. They are different samples and are not pooled.,canon_012
