n,outcome,events,rate,scope,rate_pp,model,language,jurisdiction,tier,domain,region_focus,measurement,uncertainty,canonical_run_id
12480,capability_failure,2413,0.19334935897435898,model,19.334935897435898,grok-4.3,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12480,substantive_pivot,37,0.0029647435897435896,model,0.296474358974359,grok-4.3,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12480,genuine_refusal,539,0.04318910256410256,model,4.318910256410256,hunyuan-a13b,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12480,capability_failure,2229,0.17860576923076923,model,17.860576923076923,hunyuan-a13b,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12480,substantive_pivot,274,0.021955128205128203,model,2.1955128205128203,hunyuan-a13b,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12479,genuine_refusal,220,0.01762961775783316,model,1.762961775783316,jais-8b,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12479,capability_failure,6128,0.49106498918182545,model,49.106498918182545,jais-8b,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12479,substantive_pivot,517,0.04142960173090793,model,4.142960173090793,jais-8b,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12479,genuine_refusal,1328,0.10641878355637471,model,10.641878355637472,kimi-k2.5,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12479,capability_failure,1318,0.10561743729465502,model,10.561743729465501,kimi-k2.5,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12479,substantive_pivot,1465,0.11739722734193445,model,11.739722734193444,kimi-k2.5,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12480,genuine_refusal,371,0.0297275641025641,model,2.97275641025641,llama-4-scout,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12480,capability_failure,1149,0.0920673076923077,model,9.20673076923077,llama-4-scout,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12480,substantive_pivot,158,0.01266025641025641,model,1.266025641025641,llama-4-scout,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12480,genuine_refusal,7,5.608974358974359e-4,model,0.056089743589743585,ministral-14b,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12480,capability_failure,914,0.07323717948717949,model,7.323717948717949,ministral-14b,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12480,substantive_pivot,19,0.0015224358974358974,model,0.15224358974358976,ministral-14b,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12479,genuine_refusal,3,2.4040387851590673e-4,model,0.024040387851590673,mistral-large-2512,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
