jurisdiction,home_status,n,refusals_strict,refusals_any,rate_strict,rate_any,n_issues,grouping,stratum_value,model,quantity,weighting,estimate,estimate_pp,conf_low,conf_high,conf_low_pp,conf_high_pp,n_home,n_away,estimable,note,sample,outcome,estimand,causal_interpretation,general_handling,canonical_run_id
CN,home,416,72,72,0.17307692307692307,0.17307692307692307,104,model,deepseek-chat-v3.1,deepseek-chat-v3.1,observed_rate,response,0.17307692307692307,17.307692307692307,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
CN,away,1664,76,98,0.04567307692307692,0.05889423076923077,416,model,qwen3-max,qwen3-max,observed_rate,response,0.04567307692307692,4.567307692307692,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
CN,general,416,17,18,0.040865384615384616,0.04326923076923077,104,model,qwen3-max,qwen3-max,observed_rate,response,0.040865384615384616,4.086538461538462,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
CN,home,416,91,103,0.21875,0.24759615384615385,104,model,qwen3-max,qwen3-max,observed_rate,response,0.21875,21.875,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
MENA,away,1664,262,265,0.15745192307692307,0.15925480769230768,416,model,allam-7b,allam-7b,observed_rate,response,0.15745192307692307,15.745192307692307,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
MENA,general,416,53,53,0.12740384615384615,0.12740384615384615,104,model,allam-7b,allam-7b,observed_rate,response,0.12740384615384615,12.740384615384615,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
MENA,home,416,111,111,0.2668269230769231,0.2668269230769231,104,model,allam-7b,allam-7b,observed_rate,response,0.2668269230769231,26.682692307692307,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
MENA,away,1664,93,96,0.05588942307692308,0.057692307692307696,416,model,falcon3-10b,falcon3-10b,observed_rate,response,0.05588942307692308,5.588942307692308,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
MENA,general,416,21,22,0.05048076923076923,0.052884615384615384,104,model,falcon3-10b,falcon3-10b,observed_rate,response,0.05048076923076923,5.048076923076923,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
MENA,home,416,42,43,0.10096153846153846,0.10336538461538461,104,model,falcon3-10b,falcon3-10b,observed_rate,response,0.10096153846153846,10.096153846153847,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
