jurisdiction,cells_total,cells_both_arms,rows_total,rows_retained,issues_total,issues_retained,target_weight_retained,support_definition,canonical_run_id
CN,108,36,4160,1720,520,215,0.41346153846153705,model x domain x route_f x tier,canon_006
MENA,162,120,6240,4812,520,401,0.7711538461538435,model x domain x route_f x tier,canon_006
India,54,30,2076,1443,520,361,0.6942307692307669,model x domain x route_f x tier,canon_006
US,216,176,8319,7631,520,477,0.917307692307843,model x domain x route_f x tier,canon_006
EU,54,46,2080,1984,520,496,0.9538461538461506,model x domain x route_f x tier,canon_006
