dimension,field,model,jurisdiction,n,n_issues,share_neg2,share_neg1,share_zero,share_pos1,share_pos2,share_negative,share_positive,share_neutral,signed_mean,conditional,canonical_run_id
Economic,economic_left_right,allam-7b,MENA,512,156,0.005859375,0.02734375,0.92578125,0.037109375,0.00390625,0.033203125,0.041015625,0.92578125,0.005859375,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Economic,economic_left_right,claude-opus-4.5,US,606,156,0.0016501650165016502,0.018151815181518153,0.9389438943894389,0.039603960396039604,0.0016501650165016502,0.019801980198019802,0.041254125412541254,0.9389438943894389,0.02145214521452145,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Economic,economic_left_right,deepseek-chat-v3.1,CN,597,156,0.008375209380234505,0.023450586264656615,0.9279731993299832,0.03685092127303183,0.0033500837520938024,0.031825795644891124,0.04020100502512563,0.9279731993299832,0.0033500837520938024,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Economic,economic_left_right,falcon3-10b,MENA,581,156,0.0017211703958691911,0.027538726333907058,0.9345955249569707,0.03442340791738382,0.0017211703958691911,0.029259896729776247,0.03614457831325301,0.9345955249569707,0.0068846815834767644,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Economic,economic_left_right,gpt-4o,US,612,156,0.0032679738562091504,0.027777777777777776,0.923202614379085,0.042483660130718956,0.0032679738562091504,0.03104575163398693,0.0457516339869281,0.923202614379085,0.014705882352941176,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Economic,economic_left_right,gpt-5.1,US,605,156,0.0049586776859504135,0.01487603305785124,0.9421487603305785,0.03471074380165289,0.003305785123966942,0.019834710743801654,0.03801652892561983,0.9421487603305785,0.01652892561983471,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Economic,economic_left_right,grok-4.3,US,612,156,0.004901960784313725,0.02287581699346405,0.8741830065359477,0.08660130718954248,0.011437908496732025,0.027777777777777776,0.09803921568627451,0.8741830065359477,0.07679738562091504,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Economic,economic_left_right,jais-8b,MENA,606,156,0.0049504950495049506,0.028052805280528052,0.9273927392739274,0.036303630363036306,0.0033003300330033004,0.033003300330033,0.039603960396039604,0.9273927392739274,0.0049504950495049506,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Economic,economic_left_right,mistral-large-2512,EU,624,156,0.011217948717948718,0.02564102564102564,0.9198717948717948,0.03685897435897436,0.00641025641025641,0.03685897435897436,0.04326923076923077,0.9198717948717948,0.0016025641025641025,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Economic,economic_left_right,qwen3-max,CN,584,155,0.005136986301369863,0.030821917808219176,0.9178082191780822,0.04280821917808219,0.003424657534246575,0.03595890410958904,0.046232876712328765,0.9178082191780822,0.008561643835616438,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Economic,economic_left_right,sarvam-30b,India,589,156,0.0050933786078098476,0.023769100169779286,0.9320882852292021,0.03735144312393888,0.001697792869269949,0.028862478777589132,0.03904923599320883,0.9320882852292021,0.006791171477079796,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Social,social_left_right,allam-7b,MENA,512,156,0.005859375,0.11328125,0.783203125,0.095703125,0.001953125,0.119140625,0.09765625,0.783203125,-0.025390625,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Social,social_left_right,claude-opus-4.5,US,606,156,0.006600660066006601,0.09735973597359736,0.8250825082508251,0.066006600660066,0.0049504950495049506,0.10396039603960396,0.07095709570957096,0.8250825082508251,-0.034653465346534656,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Social,social_left_right,deepseek-chat-v3.1,CN,597,156,0.023450586264656615,0.11055276381909548,0.7721943048576214,0.09212730318257957,0.0016750418760469012,0.13400335008375208,0.09380234505862646,0.7721943048576214,-0.06197654941373534,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Social,social_left_right,falcon3-10b,MENA,581,156,0.013769363166953529,0.08950086058519793,0.8364888123924269,0.060240963855421686,0,0.10327022375215146,0.060240963855421686,0.8364888123924269,-0.05679862306368331,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Social,social_left_right,gpt-4o,US,612,156,0.00980392156862745,0.10130718954248366,0.8022875816993464,0.08006535947712418,0.006535947712418301,0.1111111111111111,0.08660130718954248,0.8022875816993464,-0.027777777777777776,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Social,social_left_right,gpt-5.1,US,605,156,0.026446280991735537,0.1024793388429752,0.8148760330578513,0.05454545454545454,0.001652892561983471,0.12892561983471074,0.05619834710743802,0.8148760330578513,-0.09752066115702479,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Social,social_left_right,grok-4.3,US,612,156,0.00980392156862745,0.08496732026143791,0.7369281045751634,0.16176470588235295,0.006535947712418301,0.09477124183006536,0.16830065359477125,0.7369281045751634,0.07026143790849673,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Social,social_left_right,jais-8b,MENA,606,156,0.01155115511551155,0.10231023102310231,0.8250825082508251,0.06105610561056106,0,0.11386138613861387,0.06105610561056106,0.8250825082508251,-0.06435643564356436,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
